Finding ID,Kind,Priority,State,Domain,Wave,Status,Title,Solution,Workflows,Owner,Blockers,Evidence
ADM-M-056,product_or_technical,P1,security,Security / Authorization,1,observed,Organizer-account discovery RPC accepts arbitrary user target,Bind standard calls to auth.uid(); privileged directory lookup only via capability/service principal.,ADM-WF-001,,,
ADM-M-057,product_or_technical,P1,security,Security / Authorization,1,observed,Legacy hiring/permission SECURITY DEFINER RPCs still accept caller-supplied identity,Migrate to authenticated acting-context pattern; reduce SECURITY DEFINER surface; standardize permission service.,ADM-WF-002,,,
ADM-M-058,product_or_technical,P1,process,Build / CI,0,observed,Production main is materially behind the reconciliation branch,Create controlled reconciliation PR; classify each delta MERGE/SUPERSEDED/MIGRATION/SECURITY_REVIEW/DROP; stage first.,ADM-WF-017,,,
ADM-M-059,product_or_technical,P1,inconsistent,Navigation / IA,5,observed,Duplicate legacy Admin route implementations remain beside canonical dashboard routes,Choose one canonical route per concept; redirect aliases; delete duplicate logic; add route-map tests.,ADM-WF-016,,,
ADM-M-060,product_or_technical,P1,security,Navigation / IA,4,observed,Production still exposes obsolete internal utility/setup routes,Disable/remove in production; keep internal tooling behind explicit development/internal controls.,ADM-WF-016; ADM-WF-020,,,
ADM-M-061,product_or_technical,P2,needs_verification,Data / Migrations,1,observed,RLS-enabled tables with zero policies require explicit service-only vs client-access decision,Document access intent; add least-privilege policies if client-facing or guarantee service-only access with tests.,ADM-WF-013; ADM-WF-017,,,
ADM-M-062,product_or_technical,P1,security,Workforce / Hiring,3,observed,Job-posting lifecycle status is client-controlled,"Remove arbitrary lifecycle status from create/update payloads; expose validated server transition commands with capability, tenant, idempotency, and audit enforcement.",ADM-WF-007,,,
ADM-M-063,product_or_technical,P2,missing,Finance / Contracts / Vendors,4,observed,"Finance, contract, and vendor tracking notifications are incomplete","Define scoped notification triggers, durable delivery records, recipient preferences, retry visibility, and explicit disabled states for deferred mutations/signatures.",ADM-WF-012; ADM-WF-014; ADM-WF-015,,,
ADM-M-064,product_or_technical,P2,missing,Provider / Outbox Operations,4,observed,Six music outbox workers are not scheduled or monitored,"Register platform-internal schedules, bind service principals, make claims idempotent, add bounded retry/dead-letter handling, and expose internal health evidence.",ADM-WF-012; ADM-WF-020,,,
AOA-001,audit_governance,P0,process,Audit governance,0,implemented,Audit status ledger is unusable,Replace conflicting hand-edited ledgers with the validated repo registry and generated views.,ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-002,audit_governance,P0,process,Audit governance,0,implemented,Claimed remediation commits are unavailable,Require every completion claim to resolve to an immutable commit in the authoritative repository.,ADM-WF-017,Engineering assurance,,EVD-BASELINE-CHECKPOINT; EVD-WAVE0-CONTROLS-COMMIT
AOA-003,audit_governance,P0,process,Audit governance,0,in_progress,Typecheck and build evidence conflicts,Record raw command evidence from the pinned toolchain and reject narrative-only pass claims.,ADM-WF-017,Engineering,,EVD-WAVE0-TYPECHECK-LOCAL-FAIL
AOA-004,audit_governance,P1,process,Audit governance,0,implemented,Finding phases and dependencies are corrupted,"Separate source phase, spec phase, and delivery wave; allow exact ID dependencies only and reject cycles.",ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-005,audit_governance,P1,process,Audit governance,0,implemented,Mandatory phase exits were not earned,Compute wave exits from launch gates and evidence instead of narrative phase summaries.,ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-006,audit_governance,P1,process,Audit governance,0,implemented,Canonical event split was mislabeled non-blocking,Keep event convergence launch-blocking through LG-14.,ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT
AOA-007,audit_governance,P1,process,Audit governance,0,reproduced,Runtime persona kit is stale and incomplete,Replace it with strict current-route producer/recipient and negative tests on named staging.,ADM-WF-017,,,
AOA-008,audit_governance,P1,process,Audit governance,0,implemented,Three narrative findings were lost in the crosswalk,Preserve ADM-M-062 through ADM-M-064 and enforce stable finding-count invariants.,ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-009,audit_governance,P1,process,Audit governance,0,implemented,Acceptance criteria are templated rather than functional,"Require producer, database/API, side-effect, recipient, isolation, retry, and rollback criteria.",ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-010,audit_governance,P1,process,Audit governance,0,implemented,Duplicate task and finding systems invite double counting,"Link spec tasks, findings, workflows, gates, and evidence by stable IDs in one registry.",ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-011,audit_governance,P1,process,Audit governance,0,implemented,Source finding IDs were renamed inconsistently,Preserve canonical and source IDs separately and reject duplicate or unstable canonical IDs.,ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-012,audit_governance,P1,process,Audit governance,0,in_progress,Test failure summaries are internally inconsistent,Store raw test evidence and derive counts; never type narrative counts by hand.,ADM-WF-017,Quality engineering,,EVD-WAVE0-ADMIN-TESTS-LOCAL
AOA-013,audit_governance,P1,process,Audit governance,0,in_progress,Live-audit provenance is missing,Require source manifests and immutable evidence receipts for live database and platform claims.,ADM-WF-017,Database security,,EVD-WAVE0-MIGRATIONS-LOCAL
AOA-014,audit_governance,P2,process,Audit governance,0,implemented,Finding domain classifications are unreliable,Use workflow linkage and a separately governed domain field without changing stable IDs.,ADM-WF-017,Engineering assurance,,EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-AUDIT-REGISTRY-LOCAL
AOA-015,audit_governance,P2,process,Audit governance,0,in_progress,Audit reproduction used divergent paths and dirty workspaces,"Pin the checkpoint, branch, staging environment, and evidence commit for every verification run.",ADM-WF-017,Engineering assurance,,EVD-BASELINE-CHECKPOINT; EVD-WAVE0-CONTROLS-COMMIT; EVD-WAVE0-MIGRATIONS-LOCAL
