"task_id","phase","workstream","module_id","module","task","issue","recommendation","priority","effort","dependencies","acceptance_evidence","owner","status","reconciliation_status","evidence","basis","reconciled_at"
"FND-034","Phase 1","Responsive","","Platform foundation","Define task-based responsive behavior for dashboard, table, calendar, editor, map, and inbox archetypes.","","","P0","L","FND-011,FND-017","P0 archetypes have documented 320px, tablet, desktop, and wide behavior.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-035","Phase 1","Responsive","","Platform foundation","Audit fixed widths, overflow clipping, safe areas, virtual keyboards, and sticky controls.","","","P0","M","FND-034","No critical control is clipped or obscured at supported sizes.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-036","Phase 1","Performance","","Platform foundation","Define page and interaction performance budgets tied to real-user metrics.","","","P1","M","FND-006","Budgets exist for JS, image, route load, action feedback, LCP, INP, and CLS.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-037","Phase 1","Performance","","Platform foundation","Decompose the highest-risk monoliths listed in the component registry.","","","P1","XL","FND-009,FND-020,FND-026","Top P0 monoliths have isolated panels and tests without behavior loss.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-038","Phase 1","Performance","","Platform foundation","Move read-heavy page initialization server-side and stream independent panels where authorization permits.","","","P1","L","FND-036","First useful content appears before secondary panels and hydration.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-039","Phase 1","Quality","","Platform foundation","Add Storybook or equivalent isolated catalog for shared primitives and account recipes.","","","P1","M","FND-016,FND-017","Every shared primitive has documented variants and states.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"FND-040","Phase 1","Quality","","Platform foundation","Add automated a11y, visual regression, keyboard, responsive, and state tests to CI.","","","P0","L","FND-029,FND-030,FND-031,FND-034,FND-039","P0 component violations block merge.","","needs remediation","needs remediation","Current app shell, shared UI primitives, CI scripts, and audit registries.","Foundation pieces exist but have not passed the attached audit's complete evidence bundle.","2026-07-28"
"UX-001A","Phase 2","Public / Acquisition","PUB-01","Landing page","Confirm canonical user journey, route ownership, permissions, and object status model for Landing page.","Marketing hierarchy and proof are not yet tied to each account persona's concrete outcomes.","Replace broad platform claims with persona-specific proof, real workflows, trust signals, and one primary conversion path.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Landing page.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-001B","Phase 2","Public / Acquisition","PUB-01","Landing page","Implement the complete responsive workflow and all system states for Landing page.","Marketing hierarchy and proof are not yet tied to each account persona's concrete outcomes.","Replace broad platform claims with persona-specific proof, real workflows, trust signals, and one primary conversion path.","P1","L","UX-001A,FND-020,FND-023,FND-026,FND-027,FND-034","A first-time visitor can identify who Tourify is for, what problem it solves, and the next step within 15 seconds.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-001C","Phase 7","Public / Acquisition","PUB-01","Landing page","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Landing page.","Marketing hierarchy and proof are not yet tied to each account persona's concrete outcomes.","Replace broad platform claims with persona-specific proof, real workflows, trust signals, and one primary conversion path.","P1","M","UX-001B,FND-040","Automated and manual evidence proves Landing page at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-002A","Phase 2","Public / Acquisition","PUB-02","Login and signup","Confirm canonical user journey, route ownership, permissions, and object status model for Login and signup.","The 705-line login combines authentication, tickers, location discovery, news, and marketing, increasing distraction and failure surface.","Keep authentication dominant; move live news/discovery below the first viewport; preserve redirect intent and show precise verification/recovery states.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Login and signup.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-002B","Phase 2","Public / Acquisition","PUB-02","Login and signup","Implement the complete responsive workflow and all system states for Login and signup.","The 705-line login combines authentication, tickers, location discovery, news, and marketing, increasing distraction and failure surface.","Keep authentication dominant; move live news/discovery below the first viewport; preserve redirect intent and show precise verification/recovery states.","P1","L","UX-002A,FND-020,FND-023,FND-026,FND-027,FND-034","Keyboard and mobile users can complete sign-up, verification, login, recovery, and retry without losing entered data.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-002C","Phase 7","Public / Acquisition","PUB-02","Login and signup","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Login and signup.","The 705-line login combines authentication, tickers, location discovery, news, and marketing, increasing distraction and failure surface.","Keep authentication dominant; move live news/discovery below the first viewport; preserve redirect intent and show precise verification/recovery states.","P1","M","UX-002B,FND-040","Automated and manual evidence proves Login and signup at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-003A","Phase 2","Public / Acquisition","PUB-03","Email verification and recovery","Confirm canonical user journey, route ownership, permissions, and object status model for Email verification and recovery.","Verification status and resend/recovery expectations are distributed across auth routes and email delivery behavior.","Create one status-driven verification screen with sent, waiting, verified, expired, rate-limited, and support states.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Email verification and recovery.","","needs remediation","needs remediation","Canonical status-driven /auth/verification surface implements sent, waiting, verified, expired, rate-limited, recovery, resend, and support states.","Code and focused type evidence exist; email-provider delivery, mobile, keyboard, and screen-reader acceptance evidence remain.","2026-07-28"
"UX-003B","Phase 2","Public / Acquisition","PUB-03","Email verification and recovery","Implement the complete responsive workflow and all system states for Email verification and recovery.","Verification status and resend/recovery expectations are distributed across auth routes and email delivery behavior.","Create one status-driven verification screen with sent, waiting, verified, expired, rate-limited, and support states.","P1","L","UX-003A,FND-020,FND-023,FND-026,FND-027,FND-034","Every verification outcome offers one clear next action and never strands the user.","","needs remediation","needs remediation","Canonical status-driven /auth/verification surface implements sent, waiting, verified, expired, rate-limited, recovery, resend, and support states.","Code and focused type evidence exist; email-provider delivery, mobile, keyboard, and screen-reader acceptance evidence remain.","2026-07-28"
"UX-003C","Phase 7","Public / Acquisition","PUB-03","Email verification and recovery","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Email verification and recovery.","Verification status and resend/recovery expectations are distributed across auth routes and email delivery behavior.","Create one status-driven verification screen with sent, waiting, verified, expired, rate-limited, and support states.","P1","M","UX-003B,FND-040","Automated and manual evidence proves Email verification and recovery at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical status-driven /auth/verification surface implements sent, waiting, verified, expired, rate-limited, recovery, resend, and support states.","Code and focused type evidence exist; email-provider delivery, mobile, keyboard, and screen-reader acceptance evidence remain.","2026-07-28"
"UX-004A","Phase 2","Public / Acquisition","PUB-04","Account creation","Confirm canonical user journey, route ownership, permissions, and object status model for Account creation.","The 1,689-line create page still uses generic account icons, gradients, long feature lists, and embeds multiple creation wizards.","Use a premium color-coded comparison, progressive disclosure, autosave, name/slug validation, and separate reusable persona wizards.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Account creation.","","needs remediation","needs remediation","Existing account mutations are preserved with seven-day non-sensitive local draft recovery, save status, normalized slugs, and authenticated trusted availability checks.","Progress and URL preflight are implemented; persona-wizard decomposition and responsive acceptance evidence remain.","2026-07-28"
"UX-004B","Phase 2","Public / Acquisition","PUB-04","Account creation","Implement the complete responsive workflow and all system states for Account creation.","The 1,689-line create page still uses generic account icons, gradients, long feature lists, and embeds multiple creation wizards.","Use a premium color-coded comparison, progressive disclosure, autosave, name/slug validation, and separate reusable persona wizards.","P1","L","UX-004A,FND-020,FND-023,FND-026,FND-027,FND-034","A General user can compare and create Artist, Venue, or Admin context with accurate scope and a reversible review step.","","needs remediation","needs remediation","Existing account mutations are preserved with seven-day non-sensitive local draft recovery, save status, normalized slugs, and authenticated trusted availability checks.","Progress and URL preflight are implemented; persona-wizard decomposition and responsive acceptance evidence remain.","2026-07-28"
"UX-004C","Phase 7","Public / Acquisition","PUB-04","Account creation","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Account creation.","The 1,689-line create page still uses generic account icons, gradients, long feature lists, and embeds multiple creation wizards.","Use a premium color-coded comparison, progressive disclosure, autosave, name/slug validation, and separate reusable persona wizards.","P1","M","UX-004B,FND-040","Automated and manual evidence proves Account creation at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Existing account mutations are preserved with seven-day non-sensitive local draft recovery, save status, normalized slugs, and authenticated trusted availability checks.","Progress and URL preflight are implemented; persona-wizard decomposition and responsive acceptance evidence remain.","2026-07-28"
"UX-005A","Phase 2","Public / Acquisition","PUB-05","Persona onboarding","Confirm canonical user journey, route ownership, permissions, and object status model for Persona onboarding.","Multiple onboarding routers and enhanced flows create unclear canonical ownership.","Define one canonical onboarding orchestrator with resumable steps, progress, optional vs required fields, and account-specific branches.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Persona onboarding.","","needs remediation","needs remediation","Canonical Artist/Venue onboarding restores server-owned flow responses and step metadata, autosaves, validates required fields, and safely resumes after account creation.","Authorization, status compatibility, refresh/back/re-entry, and duplicate-creation recovery are implemented; responsive and assistive-technology acceptance remain.","2026-07-28"
"UX-005B","Phase 2","Public / Acquisition","PUB-05","Persona onboarding","Implement the complete responsive workflow and all system states for Persona onboarding.","Multiple onboarding routers and enhanced flows create unclear canonical ownership.","Define one canonical onboarding orchestrator with resumable steps, progress, optional vs required fields, and account-specific branches.","P1","L","UX-005A,FND-020,FND-023,FND-026,FND-027,FND-034","Refresh, back, and re-entry restore progress and show exactly what remains.","","needs remediation","needs remediation","Canonical Artist/Venue onboarding restores server-owned flow responses and step metadata, autosaves, validates required fields, and safely resumes after account creation.","Authorization, status compatibility, refresh/back/re-entry, and duplicate-creation recovery are implemented; responsive and assistive-technology acceptance remain.","2026-07-28"
"UX-005C","Phase 7","Public / Acquisition","PUB-05","Persona onboarding","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Persona onboarding.","Multiple onboarding routers and enhanced flows create unclear canonical ownership.","Define one canonical onboarding orchestrator with resumable steps, progress, optional vs required fields, and account-specific branches.","P1","M","UX-005B,FND-040","Automated and manual evidence proves Persona onboarding at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","Canonical Artist/Venue onboarding restores server-owned flow responses and step metadata, autosaves, validates required fields, and safely resumes after account creation.","Authorization, status compatibility, refresh/back/re-entry, and duplicate-creation recovery are implemented; responsive and assistive-technology acceptance remain.","2026-07-28"
"UX-006A","Phase 2","Public / Acquisition","PUB-06","Pricing and upgrade","Confirm canonical user journey, route ownership, permissions, and object status model for Pricing and upgrade.","Upgrade prompts are feature-local and do not consistently explain limits, value, billing timing, or downgrade effects.","Use one entitlement-aware plan comparison and contextual paywall pattern with trial, proration, cancellation, and retained-data copy.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Pricing and upgrade.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-006B","Phase 2","Public / Acquisition","PUB-06","Pricing and upgrade","Implement the complete responsive workflow and all system states for Pricing and upgrade.","Upgrade prompts are feature-local and do not consistently explain limits, value, billing timing, or downgrade effects.","Use one entitlement-aware plan comparison and contextual paywall pattern with trial, proration, cancellation, and retained-data copy.","P1","L","UX-006A,FND-020,FND-023,FND-026,FND-027,FND-034","Users understand price, charge timing, unlocked value, and downgrade consequences before confirming.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-006C","Phase 7","Public / Acquisition","PUB-06","Pricing and upgrade","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Pricing and upgrade.","Upgrade prompts are feature-local and do not consistently explain limits, value, billing timing, or downgrade effects.","Use one entitlement-aware plan comparison and contextual paywall pattern with trial, proration, cancellation, and retained-data copy.","P1","M","UX-006B,FND-040","Automated and manual evidence proves Pricing and upgrade at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-007A","Phase 2","Public / Acquisition","PUB-07","Help and product education","Confirm canonical user journey, route ownership, permissions, and object status model for Help and product education.","Education drawer exists but help placement and guidance vary by surface.","Add consistent contextual help, glossary, guided setup checklists, and searchable task-based articles.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for Help and product education.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-007B","Phase 2","Public / Acquisition","PUB-07","Help and product education","Implement the complete responsive workflow and all system states for Help and product education.","Education drawer exists but help placement and guidance vary by surface.","Add consistent contextual help, glossary, guided setup checklists, and searchable task-based articles.","P1","L","UX-007A,FND-020,FND-023,FND-026,FND-027,FND-034","Help is available in a consistent location and deep-links to the current task.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-007C","Phase 7","Public / Acquisition","PUB-07","Help and product education","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for Help and product education.","Education drawer exists but help placement and guidance vary by surface.","Add consistent contextual help, glossary, guided setup checklists, and searchable task-based articles.","P1","M","UX-007B,FND-040","Automated and manual evidence proves Help and product education at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","not started","not started","No task-specific acceptance bundle located during the initial reconciliation.","Implementation may exist, but it is not credited without task-level evidence.","2026-07-28"
"UX-008A","Phase 2","General / Work Mode","GEN-01","General dashboard","Confirm canonical user journey, route ownership, permissions, and object status model for General dashboard.","Dashboard competes with account widgets, activity, quick actions, feed, and broad feature promotion.","Prioritize today's next actions, profile completeness, applications, tickets, messages, and active assignments.","P1","M","FND-002,FND-007,FND-011","Approved journey map covers entry, orientation, start, validation, completion, recovery, and return for General dashboard.","","needs remediation","needs remediation","General dashboard action center reads real applications, tickets, notifications, profile completion, and active assignments with partial/error states.","The fabricated goals and analytics claims were removed; responsive and moderated dashboard acceptance evidence remains.","2026-07-28"
"UX-008B","Phase 2","General / Work Mode","GEN-01","General dashboard","Implement the complete responsive workflow and all system states for General dashboard.","Dashboard competes with account widgets, activity, quick actions, feed, and broad feature promotion.","Prioritize today's next actions, profile completeness, applications, tickets, messages, and active assignments.","P1","L","UX-008A,FND-020,FND-023,FND-026,FND-027,FND-034","The dashboard answers what changed, what needs action, and where to go next without scrolling through promotion.","","needs remediation","needs remediation","General dashboard action center reads real applications, tickets, notifications, profile completion, and active assignments with partial/error states.","The fabricated goals and analytics claims were removed; responsive and moderated dashboard acceptance evidence remains.","2026-07-28"
"UX-008C","Phase 7","General / Work Mode","GEN-01","General dashboard","Validate accessibility, mobile behavior, performance, telemetry, permissions, and recovery for General dashboard.","Dashboard competes with account widgets, activity, quick actions, feed, and broad feature promotion.","Prioritize today's next actions, profile completeness, applications, tickets, messages, and active assignments.","P1","M","UX-008B,FND-040","Automated and manual evidence proves General dashboard at 320px, tablet, desktop, keyboard, screen reader, slow network, empty data, error, and forbidden states.","","needs remediation","needs remediation","General dashboard action center reads real applications, tickets, notifications, profile completion, and active assignments with partial/error states.","The fabricated goals and analytics claims were removed; responsive and moderated dashboard acceptance evidence remains.","2026-07-28"
