"route","source_file","account_area","product_domain","audit_risk","disposition","canonicalTarget","owner","decisionBasis"
"/admin/dashboard/events/[id]/day-sheet","app/admin/dashboard/events/[id]/day-sheet/page.tsx","Admin / Organization","Events & bookings","low","keep","/admin/dashboard/events/[id]/day-sheet","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/events/[id]/hq","app/admin/dashboard/events/[id]/hq/page.tsx","Admin / Organization","Events & bookings","medium","keep","/admin/dashboard/events/[id]/hq","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/events/create","app/admin/dashboard/events/create/page.tsx","Admin / Organization","Identity & onboarding","medium","keep","/admin/dashboard/events/create","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/events/planner","app/admin/dashboard/events/planner/page.tsx","Admin / Organization","Events & bookings","low","redirect","/admin/dashboard/events/create","Admin / Organization","Canonical IA or current canonical-route ledger."
"/admin/dashboard/features","app/admin/dashboard/features/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/features","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/feed","app/admin/dashboard/feed/page.tsx","Admin / Organization","Content & publishing","medium","keep","/admin/dashboard/feed","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/finances","app/admin/dashboard/finances/page.tsx","Admin / Organization","Commerce & finance","medium","keep","/admin/dashboard/finances","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/hiring","app/admin/dashboard/hiring/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/hiring","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/hiring/templates","app/admin/dashboard/hiring/templates/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/hiring/templates","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/hiring/templates/[id]","app/admin/dashboard/hiring/templates/[id]/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/hiring/templates/[id]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/hiring/templates/new","app/admin/dashboard/hiring/templates/new/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/hiring/templates/new","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/inventory","app/admin/dashboard/inventory/page.tsx","Admin / Organization","Commerce & finance","low","keep","/admin/dashboard/inventory","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/jobs","app/admin/dashboard/jobs/page.tsx","Admin / Organization","Workforce & jobs","low","redirect","/admin/dashboard/hiring?tab=jobs","Admin / Organization","Canonical IA or current canonical-route ledger."
"/admin/dashboard/jobs/[id]","app/admin/dashboard/jobs/[id]/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/jobs/[id]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/jobs/new","app/admin/dashboard/jobs/new/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/jobs/new","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/logistics","app/admin/dashboard/logistics/page.tsx","Admin / Organization","Logistics & production","low","keep","/admin/dashboard/logistics","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/logistics/site-maps-enhanced","app/admin/dashboard/logistics/site-maps-enhanced/page.tsx","Admin / Organization","Logistics & production","low","keep","/admin/dashboard/logistics/site-maps-enhanced","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/marketplace","app/admin/dashboard/marketplace/page.tsx","Admin / Organization","Commerce & finance","low","keep","/admin/dashboard/marketplace","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/marketplace/orders","app/admin/dashboard/marketplace/orders/page.tsx","Admin / Organization","Commerce & finance","low","keep","/admin/dashboard/marketplace/orders","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/marketplace/orders/[id]","app/admin/dashboard/marketplace/orders/[id]/page.tsx","Admin / Organization","Commerce & finance","low","keep","/admin/dashboard/marketplace/orders/[id]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/messages","app/admin/dashboard/messages/page.tsx","Admin / Organization","Community & communications","low","redirect","/admin/dashboard/communications","Admin / Organization","Canonical IA or current canonical-route ledger."
"/admin/dashboard/music","app/admin/dashboard/music/page.tsx","Admin / Organization","Music & rights","low","keep","/admin/dashboard/music","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/network","app/admin/dashboard/network/page.tsx","Admin / Organization","Dashboard / platform","medium","keep","/admin/dashboard/network","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/onboarding","app/admin/dashboard/onboarding/page.tsx","Admin / Organization","Identity & onboarding","low","redirect","/admin/dashboard/hiring?tab=onboarding","Admin / Organization","Canonical IA or current canonical-route ledger."
"/admin/dashboard/organization","app/admin/dashboard/organization/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/organization","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/rbac","app/admin/dashboard/rbac/page.tsx","Admin / Organization","Dashboard / platform","medium","keep","/admin/dashboard/rbac","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/roster","app/admin/dashboard/roster/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/roster","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/settings","app/admin/dashboard/settings/page.tsx","Admin / Organization","Settings, trust & support","low","keep","/admin/dashboard/settings","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/settings/audit","app/admin/dashboard/settings/audit/page.tsx","Admin / Organization","Settings, trust & support","low","keep","/admin/dashboard/settings/audit","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/staff","app/admin/dashboard/staff/page.tsx","Admin / Organization","Workforce & jobs","low","keep","/admin/dashboard/staff","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/store","app/admin/dashboard/store/page.tsx","Admin / Organization","Commerce & finance","low","keep","/admin/dashboard/store","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/test-api","app/admin/dashboard/test-api/page.tsx","Admin / Organization","Dashboard / platform","low","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/admin/dashboard/ticketing","app/admin/dashboard/ticketing/page.tsx","Admin / Organization","Commerce & finance","medium","keep","/admin/dashboard/ticketing","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/ticketing/enhanced","app/admin/dashboard/ticketing/enhanced/page.tsx","Admin / Organization","Commerce & finance","low","keep","/admin/dashboard/ticketing/enhanced","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/tours","app/admin/dashboard/tours/page.tsx","Admin / Organization","Tours & advancing","low","keep","/admin/dashboard/tours","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/tours/[id]","app/admin/dashboard/tours/[id]/page.tsx","Admin / Organization","Tours & advancing","medium","keep","/admin/dashboard/tours/[id]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/tours/builder","app/admin/dashboard/tours/builder/page.tsx","Admin / Organization","Tours & advancing","medium","keep","/admin/dashboard/tours/builder","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/tours/create","app/admin/dashboard/tours/create/page.tsx","Admin / Organization","Identity & onboarding","low","redirect","/admin/dashboard/tours/builder","Admin / Organization","Canonical IA or current canonical-route ledger."
"/admin/dashboard/tours/planner","app/admin/dashboard/tours/planner/page.tsx","Admin / Organization","Tours & advancing","low","redirect","/admin/dashboard/tours/builder","Admin / Organization","Canonical IA or current canonical-route ledger."
"/admin/dashboard/venues","app/admin/dashboard/venues/page.tsx","Admin / Organization","Dashboard / platform","medium","keep","/admin/dashboard/venues","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/venues/[id]","app/admin/dashboard/venues/[id]/page.tsx","Admin / Organization","Profiles & directory","low","keep","/admin/dashboard/venues/[id]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/dashboard/website","app/admin/dashboard/website/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/dashboard/website","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/debug","app/admin/(dashboard-shell)/debug/page.tsx","Admin / Organization","Dashboard / platform","low","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/admin/job-postings/new","app/admin/(dashboard-shell)/job-postings/new/page.tsx","Admin / Organization","Workforce & jobs","medium","keep","/admin/job-postings/new","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/request","app/admin/(dashboard-shell)/request/page.tsx","Admin / Organization","Dashboard / platform","low","keep","/admin/request","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/reset-onboarding","app/admin/(dashboard-shell)/reset-onboarding/page.tsx","Admin / Organization","Identity & onboarding","medium","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/admin/settings","app/admin/settings/page.tsx","Admin / Organization","Settings, trust & support","low","keep","/admin/settings","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/admin/setup","app/admin/(dashboard-shell)/setup/page.tsx","Admin / Organization","Settings, trust & support","medium","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/admin/teams/[jobId]","app/admin/(dashboard-shell)/teams/[jobId]/page.tsx","Admin / Organization","Workforce & jobs","medium","keep","/admin/teams/[jobId]","Admin / Organization","Canonical surface retained pending normal definition-of-done verification."
"/advance/[token]","app/advance/[token]/page.tsx","Shared / Public","Logistics & production","low","keep","/advance/[token]","Shared / Public","Canonical surface retained pending normal definition-of-done verification."
"/all-users","app/all-users/page.tsx","Shared / Public","Discovery & insights","low","keep","/all-users","Shared / Public","Canonical surface retained pending normal definition-of-done verification."
"/analytics","app/analytics/page.tsx","Shared / Public","Discovery & insights","low","keep","/analytics","Shared / Public","Canonical surface retained pending normal definition-of-done verification."
"/artist","app/artist/page.tsx","Artist","Dashboard / platform","low","keep","/artist","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/[username]","app/artist/[username]/page.tsx","Artist","Profiles & directory","low","keep","/artist/[username]","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/bookings","app/artist/bookings/page.tsx","Artist","Events & bookings","low","keep","/artist/bookings","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business","app/artist/business/page.tsx","Artist","Dashboard / platform","low","keep","/artist/business","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business/analytics","app/artist/business/analytics/page.tsx","Artist","Discovery & insights","medium","keep","/artist/business/analytics","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business/collaboration","app/artist/business/collaboration/page.tsx","Artist","Community & communications","medium","keep","/artist/business/collaboration","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business/contracts","app/artist/business/contracts/page.tsx","Artist","Dashboard / platform","medium","keep","/artist/business/contracts","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business/education","app/artist/business/education/page.tsx","Artist","Dashboard / platform","low","keep","/artist/business/education","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business/fans","app/artist/business/fans/page.tsx","Artist","Dashboard / platform","low","keep","/artist/business/fans","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business/financial","app/artist/business/financial/page.tsx","Artist","Dashboard / platform","medium","keep","/artist/business/financial","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/business/marketing","app/artist/business/marketing/page.tsx","Artist","Dashboard / platform","medium","keep","/artist/business/marketing","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/collaborations","app/artist/collaborations/page.tsx","Artist","Community & communications","low","keep","/artist/collaborations","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/community","app/artist/community/page.tsx","Artist","Community & communications","low","keep","/artist/community","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/content","app/artist/content/page.tsx","Artist","Content & publishing","medium","keep","/artist/content","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/dashboard/analytics","app/artist/dashboard/analytics/page.tsx","Artist","Discovery & insights","low","keep","/artist/dashboard/analytics","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/debug","app/artist/debug/page.tsx","Artist","Dashboard / platform","medium","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/artist/epk","app/artist/epk/page.tsx","Artist","Music & rights","medium","keep","/artist/epk","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events","app/artist/events/page.tsx","Artist","Events & bookings","low","keep","/artist/events","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/[id]","app/artist/events/[id]/page.tsx","Artist","Events & bookings","critical","keep","/artist/events/[id]","Artist","Canonical surface retained; audit remediation required before release acceptance."
"/artist/events/[id]/manage","app/artist/events/[id]/manage/page.tsx","Artist","Events & bookings","low","keep","/artist/events/[id]/manage","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/[id]/site-map","app/artist/events/[id]/site-map/page.tsx","Artist","Events & bookings","medium","keep","/artist/events/[id]/site-map","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/budget","app/artist/events/budget/page.tsx","Artist","Events & bookings","low","keep","/artist/events/budget","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/countdown","app/artist/events/countdown/page.tsx","Artist","Events & bookings","low","keep","/artist/events/countdown","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/create","app/artist/events/create/page.tsx","Artist","Identity & onboarding","medium","keep","/artist/events/create","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/operations","app/artist/events/operations/page.tsx","Artist","Events & bookings","medium","keep","/artist/events/operations","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/resource-allocation","app/artist/events/resource-allocation/page.tsx","Artist","Events & bookings","low","keep","/artist/events/resource-allocation","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/staff","app/artist/events/staff/page.tsx","Artist","Events & bookings","low","keep","/artist/events/staff","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/tasks","app/artist/events/tasks/page.tsx","Artist","Events & bookings","low","keep","/artist/events/tasks","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/events/ticket-sales","app/artist/events/ticket-sales/page.tsx","Artist","Events & bookings","low","keep","/artist/events/ticket-sales","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features","app/artist/features/page.tsx","Artist","Dashboard / platform","low","keep","/artist/features","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/blog","app/artist/features/blog/page.tsx","Artist","Content & publishing","low","keep","/artist/features/blog","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/blog/[id]","app/artist/features/blog/[id]/page.tsx","Artist","Content & publishing","low","keep","/artist/features/blog/[id]","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/fan-engagement","app/artist/features/fan-engagement/page.tsx","Artist","Dashboard / platform","low","keep","/artist/features/fan-engagement","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/jobs","app/artist/features/jobs/page.tsx","Artist","Workforce & jobs","medium","keep","/artist/features/jobs","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/licensing","app/artist/features/licensing/page.tsx","Artist","Music & rights","medium","keep","/artist/features/licensing","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/merchandise","app/artist/features/merchandise/page.tsx","Artist","Commerce & finance","medium","keep","/artist/features/merchandise","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/music","app/artist/features/music/page.tsx","Artist","Music & rights","medium","keep","/artist/features/music","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/payments","app/artist/features/payments/page.tsx","Artist","Dashboard / platform","low","keep","/artist/features/payments","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/promotions","app/artist/features/promotions/page.tsx","Artist","Dashboard / platform","medium","keep","/artist/features/promotions","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/features/subscriptions","app/artist/features/subscriptions/page.tsx","Artist","Dashboard / platform","medium","keep","/artist/features/subscriptions","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/feed","app/artist/feed/page.tsx","Artist","Content & publishing","low","keep","/artist/feed","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/jobs","app/artist/jobs/page.tsx","Artist","Workforce & jobs","low","keep","/artist/jobs","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/jobs/[id]/apply","app/artist/jobs/[id]/apply/page.tsx","Artist","Workforce & jobs","low","keep","/artist/jobs/[id]/apply","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/jobs/new","app/artist/jobs/new/page.tsx","Artist","Workforce & jobs","low","keep","/artist/jobs/new","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/merchandise","app/artist/merchandise/page.tsx","Artist","Commerce & finance","low","keep","/artist/merchandise","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/messages","app/artist/messages/page.tsx","Artist","Community & communications","low","keep","/artist/messages","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music","app/artist/music/page.tsx","Artist","Music & rights","medium","keep","/artist/music","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/analytics","app/artist/music/analytics/page.tsx","Artist","Music & rights","low","keep","/artist/music/analytics","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/catalog-capital","app/artist/music/catalog-capital/page.tsx","Artist","Music & rights","medium","keep","/artist/music/catalog-capital","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/certification/[trackId]","app/artist/music/certification/[trackId]/page.tsx","Artist","Music & rights","low","keep","/artist/music/certification/[trackId]","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/intelligence","app/artist/music/intelligence/page.tsx","Artist","Music & rights","medium","keep","/artist/music/intelligence","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/licensing","app/artist/music/licensing/page.tsx","Artist","Music & rights","medium","keep","/artist/music/licensing","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/marketplace","app/artist/music/marketplace/page.tsx","Artist","Commerce & finance","medium","keep","/artist/music/marketplace","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/marketplace/portfolio","app/artist/music/marketplace/portfolio/page.tsx","Artist","Commerce & finance","medium","keep","/artist/music/marketplace/portfolio","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/rights-admin","app/artist/music/rights-admin/page.tsx","Artist","Music & rights","medium","keep","/artist/music/rights-admin","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/rights/[trackId]","app/artist/music/rights/[trackId]/page.tsx","Artist","Music & rights","medium","keep","/artist/music/rights/[trackId]","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/royalties","app/artist/music/royalties/page.tsx","Artist","Music & rights","low","keep","/artist/music/royalties","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/music/upload","app/artist/music/upload/page.tsx","Artist","Music & rights","low","keep","/artist/music/upload","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/network","app/artist/network/page.tsx","Artist","Dashboard / platform","low","keep","/artist/network","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/overview","app/artist/overview/page.tsx","Artist","Dashboard / platform","low","keep","/artist/overview","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/press","app/artist/press/page.tsx","Artist","Content & publishing","medium","keep","/artist/press","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/press/[id]","app/artist/press/[id]/page.tsx","Artist","Content & publishing","medium","keep","/artist/press/[id]","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/press/releases/[id]","app/artist/press/releases/[id]/page.tsx","Artist","Content & publishing","low","keep","/artist/press/releases/[id]","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/profile","app/artist/profile/page.tsx","Artist","Profiles & directory","medium","keep","/artist/profile","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/settings","app/artist/settings/page.tsx","Artist","Settings, trust & support","low","keep","/artist/settings","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/store","app/artist/store/page.tsx","Artist","Commerce & finance","low","keep","/artist/store","Artist","Canonical surface retained pending normal definition-of-done verification."
"/artist/tickets","app/artist/tickets/page.tsx","Artist","Commerce & finance","medium","keep","/artist/tickets","Artist","Canonical surface retained pending normal definition-of-done verification."
"/auth-demo","app/auth-demo/page.tsx","Public / Acquisition","Identity & onboarding","low","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/auth-test","app/auth-test/page.tsx","Public / Acquisition","Identity & onboarding","medium","hide","","Engineering / internal tools","Debug, migration, setup, or test surface; never production navigation."
"/auth/verification","app/auth/verification/page.tsx","Public / Acquisition","Identity & onboarding","medium","keep","/auth/verification","Public / Acquisition","Canonical surface retained pending normal definition-of-done verification."
"/blog/[slug]","app/blog/[slug]/page.tsx","Shared / Public","Content & publishing","medium","keep","/blog/[slug]","Shared / Public","Canonical surface retained pending normal definition-of-done verification."
"/blog/new","app/blog/new/page.tsx","Shared / Public","Content & publishing","medium","keep","/blog/new","Shared / Public","Canonical surface retained pending normal definition-of-done verification."
"/bookings","app/bookings/page.tsx","Shared / Public","Events & bookings","low","keep","/bookings","Shared / Public","Canonical surface retained pending normal definition-of-done verification."
"/business","app/business/page.tsx","Shared / Public","Dashboard / platform","high","keep","/business","Shared / Public","Canonical surface retained; audit remediation required before release acceptance."
"/business/customers","app/business/customers/page.tsx","Shared / Public","Dashboard / platform","high","keep","/business/customers","Shared / Public","Canonical surface retained; audit remediation required before release acceptance."
"/business/events","app/business/events/page.tsx","Shared / Public","Events & bookings","high","keep","/business/events","Shared / Public","Canonical surface retained; audit remediation required before release acceptance."
"/business/payments","app/business/payments/page.tsx","Shared / Public","Commerce & finance","high","keep","/business/payments","Shared / Public","Canonical surface retained; audit remediation required before release acceptance."
"/business/settings","app/business/settings/page.tsx","Shared / Public","Settings, trust & support","medium","keep","/business/settings","Shared / Public","Canonical surface retained pending normal definition-of-done verification."
"/business/tickets","app/business/tickets/page.tsx","Shared / Public","Commerce & finance","high","keep","/business/tickets","Shared / Public","Canonical surface retained; audit remediation required before release acceptance."
