task_id,wave,phase,workstream,title,finding_ids,dependencies,size,risk,objective,implementation,current_target_files,suggested_new_targets,acceptance,tests,status,owner,pr,evidence
ADMUX-0205,W04,Phase 02 — Shared UI & State Platform,Admin Design System,Converge Admin/Workforce/scheduling primitives,"AUX-CMP-007, AUX-CAL-004, AUX-TIX-011, AUX-CON-003","ADMUX-0201, ADMUX-0202",XL,Medium,Stop visual/interaction drift between Admin domains.,"Create keep/merge/deprecate matrix for headers/heroes, panels, metrics, empty states, Button/Input/Sheet/toasts and spacing. Migrate high-value consumers to shared primitives before deleting legacy variants.",app/admin/dashboard/components/*; components/hiring/workforce-ui.tsx; components/admin/admin-calendar-view.tsx; app/admin/dashboard/ticketing/page.tsx; app/admin/dashboard/contracts/page.tsx,docs/admin/ux/COMPONENT_CONVERGENCE_MATRIX.md,No new duplicate primitive family; migrated pages use the same focus/error/loading/action semantics; contracts page no longer double-pads.,Component inventory; visual regression; a11y tests.,Not Started,,,
ADMUX-0206,W04,Phase 02 — Shared UI & State Platform,Loading UX,Build structural Admin skeleton variants,"AUX-CMP-009, AUX-CAL-005, AUX-TIX-012, AUX-HIRE-004",ADMUX-0205,M,Low,Replace generic spinners/text placeholders with stable structural loading states.,"Create collection, record/workspace, table and split-pane skeletons and migrate Calendar/Ticketing/Hiring/command panels.",components/admin/operations/operations-command-shell.tsx; components/hiring/hiring-dashboard-shell.tsx; app/admin/dashboard/calendar/calendar-page-client.tsx; app/admin/dashboard/ticketing/page.tsx,,Loading preserves major geometry and avoids obvious layout jumps.,Throttled visual regression.,Not Started,,,
ADMUX-0207,W04,Phase 02 — Shared UI & State Platform,Component Architecture,Define domain-controller decomposition pattern,AUX-CMP-010,"ADMUX-0202, ADMUX-0205",M,Medium,Provide a consistent way to split oversized client orchestrators without rewriting domain logic.,"Document controller/panel boundaries, active-tab data activation, shared record context and isolated error-state ownership; apply first to Event/Tour migrations.",app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/tours/[id]/page.tsx; components/admin/logistics-dynamic-manager.tsx; app/admin/dashboard/components/admin-unified-inbox.tsx,docs/admin/ux/DOMAIN_CONTROLLER_PATTERN.md,Event/Tour/Logistics/Comms refactors follow the same boundary rules and unrelated panel failures stay isolated.,Architecture review + profiler baseline.,Not Started,,,
ADMUX-0208,W04,Phase 02 — Shared UI & State Platform,Critical Actions,Build shared lifecycle/critical-action pattern,"AUX-STATE-004, AUX-EVT-016","ADMUX-0201, ADMUX-0202",L,High,Make publish/cancel/archive/delete/refund/settlement transitions predictable and consequence-aware.,"Create CriticalActionDialog/LifecycleAction components with target scope, allowed transition, readiness/blockers, consequence preview, required confirmation, audit metadata and success/undo guidance when available.",app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/tours/[id]/page.tsx; app/admin/dashboard/finances/page.tsx; app/admin/dashboard/ticketing/page.tsx,components/admin/actions/critical-action-dialog.tsx; components/admin/actions/lifecycle-action.tsx,High-impact mutations never occur from an unexplained generic select/button; blocked transitions explain why.,Lifecycle transition tests; keyboard/focus tests.,Not Started,,,
ADMUX-0209,W04,Phase 02 — Shared UI & State Platform,Accessibility Primitives,"Standardize touch, icon-action and reduced-motion behavior","AUX-A11Y-003, AUX-A11Y-004, AUX-A11Y-005",ADMUX-0205,M,Low,Make compact Admin controls usable and understandable across touch and assistive technology.,"Add IconActionButton/Tooltip contract, responsive touch-size variants and reduced-motion utilities; migrate cards, Staff tabs and Inbox micro-actions.",app/admin/dashboard/components/admin-unified-inbox.tsx; app/admin/dashboard/finances/page.tsx; components/admin/operations/tour-operations-card.tsx; components/admin/operations/event-operations-card.tsx; components/hiring/staff-operations-tabs.tsx,components/admin/ui/icon-action-button.tsx; lib/admin/ui/motion.ts,Icon-only controls have accessible names/tooltips; critical mobile controls meet comfortable target sizes; Reduce Motion disables decorative movement.,axe; touch-target scan; prefers-reduced-motion test.,Not Started,,,
ADMUX-0210,W04,Phase 02 — Shared UI & State Platform,Responsive Data Tables,Create canonical responsive AdminDataTable,AUX-A11Y-006,ADMUX-0205,L,Medium,Provide one table/list behavior for dense Admin data on desktop and mobile.,"Support column priority, sticky key/action columns, compact mobile row cards/detail, sorting, filters, pagination and accessible overflow cues.",app/admin/dashboard/ticketing/page.tsx,components/admin/data/admin-data-table/*,Representative order/finance tables remain operable at 375px without hidden critical actions.,Responsive table fixture tests; keyboard/table semantics.,Not Started,,,
ADMUX-0301,W05,Phase 03 — Collection Platform,Tours Collection,Replace Tour saved-view prompt and unify collection toolbar,"AUX-TOUR-001, AUX-TOUR-005, AUX-TOUR-006, AUX-TOUR-007","ADMUX-0104, ADMUX-0201, ADMUX-0205",L,Medium,Make Tour saved views and collection controls production-grade.,"Add in-product save-view dialog with personal/org ownership, default/duplicate handling; expose View all drafts; separate view controls, filters/sort and selection-only bulk actions.",app/admin/dashboard/tours/tours-page-client.tsx,,No browser prompt; all drafts discoverable; view state is understandable and shareable.,Saved-view permission/duplicate tests; toolbar task test.,Not Started,,,
ADMUX-0302,W05,Phase 03 — Collection Platform,Tours Collection,"Add Tour pagination, compact mode and authoritative KPIs","AUX-TOUR-003, AUX-TOUR-004, AUX-TOUR-008, AUX-TOUR-009, AUX-TOUR-010","ADMUX-0106, ADMUX-0202, ADMUX-0210",XL,High,Make Tour portfolio accurate and usable beyond 100 records.,"Introduce server paging/infinite loading, compact/table density, server-scope KPI summary, unavailable metric states and one-primary-action card behavior.",app/admin/dashboard/tours/tours-page-client.tsx; components/admin/operations/tour-operations-card.tsx,,115th tour is discoverable; KPIs match authoritative totals; failed logistics metrics never render as 0%; card actions are accessible.,>120 record tests; KPI parity; fault injection; mobile card/table tests.,Not Started,,,
ADMUX-0303,W05,Phase 03 — Collection Platform,Events Collection,"Add Event pagination, compact mode and trustworthy cards","AUX-EVT-001, AUX-EVT-002, AUX-EVT-006, AUX-EVT-007, AUX-EVT-008","ADMUX-0104, ADMUX-0202, ADMUX-0210",XL,High,"Make Event portfolio scalable, dense and truthful.","Add server paging/compact view, unavailable logistics state, accessible card action hierarchy and safe date handling.",app/admin/dashboard/events/events-page-client.tsx; components/admin/operations/event-operations-card.tsx,,115th event is discoverable; invalid dates never leak; failed metrics are not zeros; mobile actions remain clear.,>120 record tests; invalid-date fixture; fault injection; accessibility.,Not Started,,,
ADMUX-0304,W05,Phase 03 — Collection Platform,Events Collection,Fix Event attention/export/draft workflows,"AUX-EVT-003, AUX-EVT-004, AUX-EVT-005","ADMUX-0203, ADMUX-0303",M,Medium,Make collection-level exception and support actions behave as labeled.,Needs Attention opens a real attention filter/queue; export failure stays action-scoped; draft recovery exposes full draft set.,app/admin/dashboard/events/events-page-client.tsx,,Attention result set is correct; failed export leaves collection healthy; all drafts are reachable.,Attention filter test; export fault test; >3 drafts.,Not Started,,,
ADMUX-0305,W06,Phase 03 — Collection Platform,Ticket Orders,Consolidate Ticketing order tables and authoritative export,"AUX-TIX-007, AUX-TIX-008, AUX-TIX-009","ADMUX-0110, ADMUX-0210",L,High,Turn Ticketing transactions into a real searchable order ledger.,"Replace duplicate All/Completed/Refunded tables with one server-paged AdminDataTable, status views and scoped server export.",app/admin/dashboard/ticketing/page.tsx,,30th+ order is searchable; refund view uses same row/action model; CSV includes complete scoped data and escapes fields correctly.,Order search/paging/refund/export tests.,Not Started,,,
ADMUX-0306,W06,Phase 03 — Collection Platform,Finance Ledger,Build canonical Finance ledger and authoritative export/time series,"AUX-FIN-003, AUX-FIN-004, AUX-FIN-008","ADMUX-0110, ADMUX-0202, ADMUX-0210",XL,High,Replace recent-card finance browsing with a complete ledger/reporting surface.,"Use server-paged finance table, authoritative server export and aggregate time-series endpoint rather than recentTransactions-derived charts.",app/admin/dashboard/finances/page.tsx,,200-record ledger is searchable; export/time series match authoritative scope/date data.,Paging/search; CSV escaping/completeness; time-series parity.,Not Started,,,
ADMUX-0307,W06,Phase 03 — Collection Platform,KPI Contracts,Publish KPI coverage/source-of-truth matrix,"AUX-FLOW-006, AUX-ANL-006",ADMUX-0202,L,High,"Make every Admin metric explicit about scope, coverage and freshness.","Inventory Dashboard/Tours/Events/Logistics/Ticketing/Finance/Analytics KPIs, identify authoritative summary endpoints, remove client-page aggregates from organization-total labels, and attach freshness/coverage semantics.",multiple inspected files; app/admin/dashboard/analytics/page.tsx,docs/admin/ux/KPI_SOURCE_OF_TRUTH_MATRIX.md,No organization-level KPI is computed from a paged visible subset unless explicitly labeled; chart coverage is documented/tested.,Seed beyond page limits; compare API summaries to DB fixtures.,Not Started,,,
ADMUX-0401,W07,Phase 04 — Dashboard Command Center,Dashboard UX,Rebuild Dashboard information hierarchy,"AUX-DASH-001, AUX-DASH-011, AUX-DASH-012","ADMUX-0201, ADMUX-0203",L,Medium,Make Dashboard answer 'what needs attention?' and 'what should I do next?' immediately.,"Use canonical header, place Action/Attention queue first, then today's next actions, compact KPIs and secondary insights; remove repeated widgets across tabs.",app/admin/dashboard/components/optimized-dashboard-client.tsx,,5-second test reliably identifies urgent work and next action; no repeated global widget blocks.,Usability test; visual regression.,Not Started,,,
ADMUX-0402,W07,Phase 04 — Dashboard Command Center,Freshness & Realtime,Unify Dashboard live/freshness status,AUX-DASH-002,ADMUX-0202,M,Medium,Prevent stale Dashboard data from looking live.,Replace independent green 'Live Updates' cue/status widgets with the canonical freshness state tied to actual subscription/refetch health.,app/admin/dashboard/components/optimized-dashboard-client.tsx,,Disconnecting realtime visibly changes status; last successful update remains available.,Realtime disconnect/reconnect fixture.,Not Started,,,
ADMUX-0403,W07,Phase 04 — Dashboard Command Center,Dashboard Actions,Fix task and mini-calendar interactions,"AUX-DASH-005, AUX-DASH-006, AUX-DASH-007, AUX-DASH-008, AUX-DASH-009","ADMUX-0202, ADMUX-0203",L,High,Make Dashboard task/calendar affordances truthful and directly actionable.,Gate tasks on acting context; distinguish unavailable vs empty; route View All to canonical Task/Action center; make calendar dates open canonical day view or remove fake affordance; use recognizable mini-month/timeline with accessible event counts.,app/admin/dashboard/components/optimized-dashboard-client.tsx,,Task API failure never shows all-clear; View All reaches all task domains; every pointer-styled date works; calendar meaning is available without color/hover.,Fault injection; pointer/keyboard tests; mobile calendar test.,Not Started,,,
ADMUX-0501,W08,Phase 05 — Event & Tour Workspaces,Workspace Navigation,Build hierarchical Admin workspace navigation,"AUX-CMP-008, AUX-FLOW-009, AUX-A11Y-002","ADMUX-0001, ADMUX-0104, ADMUX-0201",XL,High,Replace 7–16 peer tabs with a reusable primary/secondary workspace hierarchy.,"Create responsive workspace navigation supporting primary domains, secondary subviews, More/overflow, counts/attention badges, keyboard navigation and canonical URL state. Preserve existing deep links through mapping.",components/admin/operations/operations-command-shell.tsx; multiple inspected files; app/admin/dashboard/organization/page.tsx; app/admin/dashboard/ticketing/page.tsx,components/admin/workspace/admin-workspace-nav.tsx,Event/Organization/Ticketing workspaces no longer render massive tab walls on mobile; all legacy tab URLs resolve to the correct new location.,Keyboard/tab semantics; 375px first-click tests; deep-link alias matrix.,Not Started,,,
ADMUX-0502,W08,Phase 05 — Event & Tour Workspaces,Tour Record,Refactor Tour record shell and task hierarchy,"AUX-TOUR-011, AUX-TOUR-012","ADMUX-0207, ADMUX-0501",XL,High,Keep Tour's strong lazy-domain contracts while reducing record-page complexity.,Move record identity/status/actions into shared record shell; split domain controllers; group Shows/People/Partners/Money/Operations/Calendar according to approved IA while keeping deferred bundle contracts.,app/admin/dashboard/tours/[id]/page.tsx; lib/admin/tour-command-center-tabs.ts,,Overview loads without unnecessary editor bundles; domain failure is isolated; common tasks need fewer first-level choices.,Bundle/network profile; domain failure tests; first-click study.,Not Started,,,
ADMUX-0503,W08,Phase 05 — Event & Tour Workspaces,Event Record,Refactor Event record shell and top-level hierarchy,"AUX-EVT-009, AUX-EVT-010","ADMUX-0207, ADMUX-0501",XL,High,Turn the 13-tab Event mega-page into a focused record command center.,"Create shared event record shell, split domain controllers, map current 13 tabs into approved primary/secondary groups and preserve every deep link.",lib/admin/event-ops-tabs.ts; components/admin/operations/operations-command-shell.tsx; app/admin/dashboard/events/[id]/page.tsx,,Mobile navigation is compact; active domain data loads independently; no event identity/status/action duplication.,Network/effect profile; deep-link matrix; mobile first-click tests.,Not Started,,,
ADMUX-0504,W09,Phase 05 — Event & Tour Workspaces,Event Data States,Make Event child-domain failure states explicit,"AUX-EVT-011, AUX-EVT-012, AUX-EVT-013, AUX-EVT-014","ADMUX-0202, ADMUX-0503",L,High,Stop Event detail from silently translating domain failures into empty content.,"Use record skeleton/not-found/denied variants and per-panel result handling for tasks, staff, vendors, finance, notifications and analytics; check response.ok before parsing; keep sibling panels healthy.",app/admin/dashboard/events/[id]/page.tsx,,403/500 in one child domain never makes it look empty and never blocks unrelated domains.,Fault-injection matrix; 404/403; visual state snapshots.,Not Started,,,
ADMUX-0505,W09,Phase 05 — Event & Tour Workspaces,Event Actions,Improve Event duplicate and coordinator action semantics,"AUX-EVT-015, AUX-EVT-017, AUX-FLOW-002","ADMUX-0208, ADMUX-0503",M,Medium,Make Event actions accurately predict and preview what happens.,Add duplicate preview preserving duration and copy/reset scope; rename navigation-only actions to Open/View or directly open the create flow; prioritize 3–5 next-best actions.,app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/components/optimized-dashboard-client.tsx,,Duplicate retains intended duration; labels match outcome; coordinator action panel no longer acts as a feature list.,Duplicate fixtures; click-outcome audit.,Not Started,,,
ADMUX-0506,W09,Phase 05 — Event & Tour Workspaces,Event People & Logistics,Turn Event People/Logistics into scoped canonical workspaces,"AUX-EVT-018, AUX-EVT-019","ADMUX-0111, ADMUX-0503",L,High,Remove multi-workspace scrolling and ambiguous logistics ownership inside Event.,Use secondary People navigation for Schedule/Roster/Jobs/Participants. Mount or deep-link the canonical Logistics workspace in event-scoped mode with stable breadcrumbs/return path.,app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/logistics/logistics-page-client.tsx,,Create shift/review roster/post job require a focused subview; editing logistics from Event/global reaches the same model and returns predictably.,Cross-entry mutation test; mobile task test.,Not Started,,,
ADMUX-0601,W10,"Phase 06 — Workforce, Hiring & Governance",Staff Operations,Refine Staff mobile navigation and scheduling hierarchy,"AUX-WRK-001, AUX-WRK-002, AUX-WRK-004","ADMUX-0209, ADMUX-0501",L,Medium,Make Staff Operations clear on mobile and exception-driven on desktop.,"Keep accessible tab labels, make Scheduler the primary scheduling workspace, surface conflict/attendance/uncovered counts as badges/drawers, and retain direct Create Shift/Message Teams actions.",components/hiring/staff-operations-tabs.tsx,,Mobile tabs are named; creating a shift does not require scrolling through exception panels; conflicts/uncovered work are visible before opening subviews.,Mobile a11y; scheduling task test.,Not Started,,,
ADMUX-0602,W10,"Phase 06 — Workforce, Hiring & Governance",Hiring,Rebuild Hiring page identity and funnel hierarchy,"AUX-HIRE-002, AUX-HIRE-003, AUX-HIRE-005","ADMUX-0201, ADMUX-0501",L,Medium,Make Hiring read as a focused funnel instead of a generic tab strip.,Add canonical employer-scoped header/Create Job action; prioritize Jobs→Applications→Onboarding→Roster; move Templates/Audit to secondary administration; make healthy SLO compact and degraded SLO prominent.,components/hiring/hiring-dashboard-shell.tsx,,Deep-link user can identify employer and primary task immediately; low-frequency administration does not compete with funnel work.,First-click study; healthy/degraded visual tests.,Not Started,,,
ADMUX-0603,W10,"Phase 06 — Workforce, Hiring & Governance",Organization Governance,Reorganize Organization's 16-tab governance surface,"AUX-ORG-001, AUX-ORG-002, AUX-ORG-003, AUX-ORG-004, AUX-ORG-005, AUX-ORG-006","ADMUX-0101, ADMUX-0501",XL,High,Separate organization governance/configuration from operational workspaces.,"Group Profile/Team, Access/Security, Operational Defaults, Commerce, Data/Compliance/System into secondary nav; distinguish configure vs operate; normalize unauthorized deep links; replace silent disabled tabs with locked/help or hidden states; fix no-org remediation.",app/admin/dashboard/organization/page.tsx; app/admin/dashboard/components/optimized-sidebar.tsx,,Owner/admin common tasks have clear first clicks; lower-permission users understand locked capability; no-org CTA solves scope; direct restricted URLs normalize safely.,Persona capability matrix; deep-link tests; first-click study.,Not Started,,,
ADMUX-0701,W11,Phase 07 — Logistics & Communications,Logistics Architecture,Clarify Logistics taxonomy and lazy data contracts,"AUX-LOG-001, AUX-LOG-002","ADMUX-0501, ADMUX-0207",L,High,Make Logistics terminology predictable and reduce initial request fanout.,Adopt approved Transport/Travel/Lodging/Equipment/Backline/Catering/Comms/Site hierarchy; define per-tab summary hydration and on-activate endpoints similar to Tour command-center contracts.,app/admin/dashboard/logistics/logistics-page-client.tsx,,Overview no longer fetches full data for unused domains; first-click task mapping matches live-event terminology.,Network profile; first-click test.,Not Started,,,
