finding_id,severity,area,primary_task,wave,phase,workstream,current_files,acceptance
AUX-ANL-003,P2,Analytics export feedback,ADMUX-0901,W14,Phase 09 — Analytics & Data Trust,Analytics,app/admin/dashboard/analytics/page.tsx,Stats failure never looks zero; Org A export/live feed never leaks Org B; export errors are actionable.
AUX-ANL-004,P2,Analytics date URL state,ADMUX-0110,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/analytics/page.tsx,Each workspace restores exact meaningful state after refresh/share/back; selected Event/conversation/date scope remains visible.
AUX-ANL-005,P1,Analytics live-feed scope trust,ADMUX-0901,W14,Phase 09 — Analytics & Data Trust,Analytics,app/admin/dashboard/analytics/page.tsx,Stats failure never looks zero; Org A export/live feed never leaks Org B; export errors are actionable.
AUX-ANL-006,P1,Analytics chart coverage,ADMUX-0307,W06,Phase 03 — Collection Platform,KPI Contracts,app/admin/dashboard/analytics/page.tsx,No organization-level KPI is computed from a paged visible subset unless explicitly labeled; chart coverage is documented/tested.
AUX-ANL-007,P2,Analytics healthy-vs-error visual priority,ADMUX-0901,W14,Phase 09 — Analytics & Data Trust,Analytics,app/admin/dashboard/analytics/page.tsx,Stats failure never looks zero; Org A export/live feed never leaks Org B; export errors are actionable.
AUX-CAL-001,P2,Calendar default scope,ADMUX-0108,W02,"Phase 01 — Navigation, URL & Scope Foundation",Calendar Scope,components/admin/admin-calendar-view.tsx,Calendar never looks organization-global when narrowed; Org A/B options never cross; option API failure never looks like 'no events'.
AUX-CAL-002,P1,Calendar scope request context,ADMUX-0108,W02,"Phase 01 — Navigation, URL & Scope Foundation",Calendar Scope,components/admin/admin-calendar-view.tsx,Calendar never looks organization-global when narrowed; Org A/B options never cross; option API failure never looks like 'no events'.
AUX-CAL-003,P1,Calendar option false-empty,ADMUX-0108,W02,"Phase 01 — Navigation, URL & Scope Foundation",Calendar Scope,components/admin/admin-calendar-view.tsx,Calendar never looks organization-global when narrowed; Org A/B options never cross; option API failure never looks like 'no events'.
AUX-CAL-004,P2,Calendar primitive consistency,ADMUX-0205,W04,Phase 02 — Shared UI & State Platform,Admin Design System,components/admin/admin-calendar-view.tsx,No new duplicate primitive family; migrated pages use the same focus/error/loading/action semantics; contracts page no longer double-pads.
AUX-CAL-005,P3,Calendar loading polish,ADMUX-0206,W04,Phase 02 — Shared UI & State Platform,Loading UX,app/admin/dashboard/calendar/calendar-page-client.tsx,Loading preserves major geometry and avoids obvious layout jumps.
AUX-CMP-001,P2,Page header primitive,ADMUX-0201,W03,Phase 02 — Shared UI & State Platform,Admin Design System,app/admin/dashboard/components/admin-page-header.tsx,All migrated pages preserve page identity and one primary action from 320px through desktop; record state/scope are visible when relevant.
AUX-CMP-002,P2,Empty/error state primitive,ADMUX-0202,W03,Phase 02 — Shared UI & State Platform,State Truthfulness,app/admin/dashboard/components/admin-empty-state.tsx,No migrated P1 surface maps failed primary data to legitimate 0/empty; stale/partial data is visibly labeled; action errors do not replace healthy page state.
AUX-CMP-003,P2,Attention primitive,ADMUX-0203,W03,Phase 02 — Shared UI & State Platform,Attention & Action Center,app/admin/dashboard/components/admin-operations-index-shell.tsx,More than three issues remain discoverable; internal issue navigation stays SPA-native; Dashboard can aggregate domain queues.
AUX-CMP-004,P3,Internal issue links,ADMUX-0203,W03,Phase 02 — Shared UI & State Platform,Attention & Action Center,app/admin/dashboard/components/admin-operations-index-shell.tsx,More than three issues remain discoverable; internal issue navigation stays SPA-native; Dashboard can aggregate domain queues.
AUX-CMP-005,P1,Landmark semantics,ADMUX-0204,W04,Phase 02 — Shared UI & State Platform,Shell & Accessibility,app/admin/dashboard/components/admin-dashboard-shell.tsx; components/hiring/workforce-ui.tsx,Exactly one main landmark; no double-scroll on target viewports; keyboard scrolling remains predictable.
AUX-CMP-006,P2,Viewport sizing,ADMUX-0204,W04,Phase 02 — Shared UI & State Platform,Shell & Accessibility,app/admin/dashboard/components/admin-dashboard-shell.tsx; components/hiring/workforce-ui.tsx,Exactly one main landmark; no double-scroll on target viewports; keyboard scrolling remains predictable.
AUX-CMP-007,P2,Design-system convergence,ADMUX-0205,W04,Phase 02 — Shared UI & State Platform,Admin Design System,app/admin/dashboard/components/*; components/hiring/workforce-ui.tsx,No new duplicate primitive family; migrated pages use the same focus/error/loading/action semantics; contracts page no longer double-pads.
AUX-CMP-008,P1,Workspace tabs,ADMUX-0501,W08,Phase 05 — Event & Tour Workspaces,Workspace Navigation,components/admin/operations/operations-command-shell.tsx,Event/Organization/Ticketing workspaces no longer render massive tab walls on mobile; all legacy tab URLs resolve to the correct new location.
AUX-CMP-009,P3,Panel loading states,ADMUX-0206,W04,Phase 02 — Shared UI & State Platform,Loading UX,components/admin/operations/operations-command-shell.tsx; components/hiring/hiring-dashboard-shell.tsx,Loading preserves major geometry and avoids obvious layout jumps.
AUX-CMP-010,P2,Component scale,ADMUX-0207,W04,Phase 02 — Shared UI & State Platform,Component Architecture,app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/tours/[id]/page.tsx; components/admin/logistics-dynamic-manager.tsx; app/admin/dashboard/components/admin-unified-inbox.tsx,Event/Tour/Logistics/Comms refactors follow the same boundary rules and unrelated panel failures stay isolated.
AUX-COM-001,P1,Inbox mobile master-detail,ADMUX-0704,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,30-conversation mobile flow remains usable; unread work is visible without opening threads; new message elsewhere updates inbox metadata.
AUX-COM-002,P2,Inbox fixed heights,ADMUX-0704,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,30-conversation mobile flow remains usable; unread work is visible without opening threads; new message elsewhere updates inbox metadata.
AUX-COM-003,P1,Unread triage,ADMUX-0704,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,30-conversation mobile flow remains usable; unread work is visible without opening threads; new message elsewhere updates inbox metadata.
AUX-COM-004,P2,Inbox organization/search,ADMUX-0704,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,30-conversation mobile flow remains usable; unread work is visible without opening threads; new message elsewhere updates inbox metadata.
AUX-COM-005,P2,Conversation URL state,ADMUX-0110,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/components/admin-unified-inbox.tsx,Each workspace restores exact meaningful state after refresh/share/back; selected Event/conversation/date scope remains visible.
AUX-COM-006,P2,Inbox realtime metadata,ADMUX-0704,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,30-conversation mobile flow remains usable; unread work is visible without opening threads; new message elsewhere updates inbox metadata.
AUX-COM-007,P2,Voice-note usability,ADMUX-0705,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,Voice note can be canceled/reviewed before send; touch controls are usable; unauthenticated attachment access is rejected.
AUX-COM-008,P1,Attachment privacy/trust,ADMUX-0705,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,Voice note can be canceled/reviewed before send; touch controls are usable; unauthenticated attachment access is rejected.
AUX-COM-009,P2,Attachment removal control,ADMUX-0705,W12,Phase 07 — Logistics & Communications,Communications,app/admin/dashboard/components/admin-unified-inbox.tsx,Voice note can be canceled/reviewed before send; touch controls are usable; unauthenticated attachment access is rejected.
AUX-CON-001,P2,Contracts tab deep links,ADMUX-0110,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/contracts/page.tsx,Each workspace restores exact meaningful state after refresh/share/back; selected Event/conversation/date scope remains visible.
AUX-CON-002,P2,Contracts naming,ADMUX-0803,W13,"Phase 08 — Ticketing, Finance & Vendors",Vendors & Contracts,app/admin/dashboard/contracts/page.tsx,Add vendor→assign→contract→obligation flow is understandable and uses one vendor identity.
AUX-CON-003,P3,Contracts spacing,ADMUX-0205,W04,Phase 02 — Shared UI & State Platform,Admin Design System,app/admin/dashboard/contracts/page.tsx,No new duplicate primitive family; migrated pages use the same focus/error/loading/action semantics; contracts page no longer double-pads.
AUX-CON-004,P2,Vendor/contract cross-surface ownership,ADMUX-0803,W13,"Phase 08 — Ticketing, Finance & Vendors",Vendors & Contracts,app/admin/dashboard/contracts/page.tsx; components/admin/event-vendor-manager.tsx; components/admin/tour-vendor-manager.tsx; app/admin/dashboard/organization/page.tsx,Add vendor→assign→contract→obligation flow is understandable and uses one vendor identity.
AUX-DASH-001,P2,Dashboard header,ADMUX-0401,W07,Phase 04 — Dashboard Command Center,Dashboard UX,app/admin/dashboard/components/optimized-dashboard-client.tsx,5-second test reliably identifies urgent work and next action; no repeated global widget blocks.
AUX-DASH-002,P1,Realtime trust,ADMUX-0402,W07,Phase 04 — Dashboard Command Center,Freshness & Realtime,app/admin/dashboard/components/optimized-dashboard-client.tsx,Disconnecting realtime visibly changes status; last successful update remains available.
AUX-DASH-003,P2,Dashboard refresh,ADMUX-0105,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/components/optimized-dashboard-client.tsx,No full reload for Refresh/row drill-down; copied URL restores the active Dashboard subview; Back returns to the same working state.
AUX-DASH-004,P1,Dashboard tab deep links,ADMUX-0105,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/components/optimized-dashboard-client.tsx,No full reload for Refresh/row drill-down; copied URL restores the active Dashboard subview; Back returns to the same working state.
AUX-DASH-005,P1,Task state truthfulness,ADMUX-0403,W07,Phase 04 — Dashboard Command Center,Dashboard Actions,app/admin/dashboard/components/optimized-dashboard-client.tsx,Task API failure never shows all-clear; View All reaches all task domains; every pointer-styled date works; calendar meaning is available without color/hover.
AUX-DASH-006,P1,Mini calendar affordance,ADMUX-0403,W07,Phase 04 — Dashboard Command Center,Dashboard Actions,app/admin/dashboard/components/optimized-dashboard-client.tsx,Task API failure never shows all-clear; View All reaches all task domains; every pointer-styled date works; calendar meaning is available without color/hover.
AUX-DASH-007,P2,Mini calendar model,ADMUX-0403,W07,Phase 04 — Dashboard Command Center,Dashboard Actions,app/admin/dashboard/components/optimized-dashboard-client.tsx,Task API failure never shows all-clear; View All reaches all task domains; every pointer-styled date works; calendar meaning is available without color/hover.
AUX-DASH-008,P2,Mini calendar accessibility,ADMUX-0403,W07,Phase 04 — Dashboard Command Center,Dashboard Actions,app/admin/dashboard/components/optimized-dashboard-client.tsx,Task API failure never shows all-clear; View All reaches all task domains; every pointer-styled date works; calendar meaning is available without color/hover.
AUX-DASH-009,P1,Task destination,ADMUX-0403,W07,Phase 04 — Dashboard Command Center,Dashboard Actions,app/admin/dashboard/components/optimized-dashboard-client.tsx,Task API failure never shows all-clear; View All reaches all task domains; every pointer-styled date works; calendar meaning is available without color/hover.
AUX-DASH-010,P2,Row navigation,ADMUX-0105,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/components/optimized-dashboard-client.tsx,No full reload for Refresh/row drill-down; copied URL restores the active Dashboard subview; Back returns to the same working state.
AUX-DASH-011,P2,Information hierarchy,ADMUX-0401,W07,Phase 04 — Dashboard Command Center,Dashboard UX,app/admin/dashboard/components/optimized-dashboard-client.tsx,5-second test reliably identifies urgent work and next action; no repeated global widget blocks.
AUX-DASH-012,P3,Widget repetition,ADMUX-0401,W07,Phase 04 — Dashboard Command Center,Dashboard UX,app/admin/dashboard/components/optimized-dashboard-client.tsx,5-second test reliably identifies urgent work and next action; no repeated global widget blocks.
AUX-EVT-001,P1,Event pagination,ADMUX-0303,W05,Phase 03 — Collection Platform,Events Collection,app/admin/dashboard/events/events-page-client.tsx,115th event is discoverable; invalid dates never leak; failed metrics are not zeros; mobile actions remain clear.
AUX-EVT-002,P2,Event portfolio density,ADMUX-0303,W05,Phase 03 — Collection Platform,Events Collection,app/admin/dashboard/events/events-page-client.tsx,115th event is discoverable; invalid dates never leak; failed metrics are not zeros; mobile actions remain clear.
AUX-EVT-003,P1,Needs Attention drill-down,ADMUX-0304,W05,Phase 03 — Collection Platform,Events Collection,app/admin/dashboard/events/events-page-client.tsx,Attention result set is correct; failed export leaves collection healthy; all drafts are reachable.
AUX-EVT-004,P1,Export error scope,ADMUX-0304,W05,Phase 03 — Collection Platform,Events Collection,app/admin/dashboard/events/events-page-client.tsx,Attention result set is correct; failed export leaves collection healthy; all drafts are reachable.
AUX-EVT-005,P2,Event draft recovery,ADMUX-0304,W05,Phase 03 — Collection Platform,Events Collection,app/admin/dashboard/events/events-page-client.tsx,Attention result set is correct; failed export leaves collection healthy; all drafts are reachable.
AUX-EVT-006,P1,Event card metric truth,ADMUX-0303,W05,Phase 03 — Collection Platform,Events Collection,components/admin/operations/event-operations-card.tsx,115th event is discoverable; invalid dates never leak; failed metrics are not zeros; mobile actions remain clear.
AUX-EVT-007,P2,Event card action hierarchy,ADMUX-0303,W05,Phase 03 — Collection Platform,Events Collection,components/admin/operations/event-operations-card.tsx,115th event is discoverable; invalid dates never leak; failed metrics are not zeros; mobile actions remain clear.
AUX-EVT-008,P2,Safe event dates,ADMUX-0303,W05,Phase 03 — Collection Platform,Events Collection,components/admin/operations/event-operations-card.tsx,115th event is discoverable; invalid dates never leak; failed metrics are not zeros; mobile actions remain clear.
AUX-EVT-009,P1,Event detail IA,ADMUX-0503,W08,Phase 05 — Event & Tour Workspaces,Event Record,lib/admin/event-ops-tabs.ts; components/admin/operations/operations-command-shell.tsx,Mobile navigation is compact; active domain data loads independently; no event identity/status/action duplication.
AUX-EVT-010,P1,Event detail architecture,ADMUX-0503,W08,Phase 05 — Event & Tour Workspaces,Event Record,app/admin/dashboard/events/[id]/page.tsx,Mobile navigation is compact; active domain data loads independently; no event identity/status/action duplication.
AUX-EVT-011,P2,Loading/not-found consistency,ADMUX-0504,W09,Phase 05 — Event & Tour Workspaces,Event Data States,app/admin/dashboard/events/[id]/page.tsx,403/500 in one child domain never makes it look empty and never blocks unrelated domains.
AUX-EVT-012,P1,Child domain failure handling,ADMUX-0504,W09,Phase 05 — Event & Tour Workspaces,Event Data States,app/admin/dashboard/events/[id]/page.tsx,403/500 in one child domain never makes it look empty and never blocks unrelated domains.
AUX-EVT-013,P2,Event notifications state,ADMUX-0504,W09,Phase 05 — Event & Tour Workspaces,Event Data States,app/admin/dashboard/events/[id]/page.tsx,403/500 in one child domain never makes it look empty and never blocks unrelated domains.
AUX-EVT-014,P2,Event analytics state,ADMUX-0504,W09,Phase 05 — Event & Tour Workspaces,Event Data States,app/admin/dashboard/events/[id]/page.tsx,403/500 in one child domain never makes it look empty and never blocks unrelated domains.
AUX-EVT-015,P2,Event duplicate fidelity,ADMUX-0505,W09,Phase 05 — Event & Tour Workspaces,Event Actions,app/admin/dashboard/events/[id]/page.tsx,Duplicate retains intended duration; labels match outcome; coordinator action panel no longer acts as a feature list.
AUX-EVT-016,P2,Lifecycle actions,ADMUX-0208,W04,Phase 02 — Shared UI & State Platform,Critical Actions,app/admin/dashboard/events/[id]/page.tsx,High-impact mutations never occur from an unexplained generic select/button; blocked transitions explain why.
AUX-EVT-017,P2,Coordinator action semantics,ADMUX-0505,W09,Phase 05 — Event & Tour Workspaces,Event Actions,app/admin/dashboard/events/[id]/page.tsx,Duplicate retains intended duration; labels match outcome; coordinator action panel no longer acts as a feature list.
AUX-EVT-018,P2,People workspace density,ADMUX-0506,W09,Phase 05 — Event & Tour Workspaces,Event People & Logistics,app/admin/dashboard/events/[id]/page.tsx,Create shift/review roster/post job require a focused subview; editing logistics from Event/global reaches the same model and returns predictably.
AUX-EVT-019,P2,Logistics workspace ownership,ADMUX-0506,W09,Phase 05 — Event & Tour Workspaces,Event People & Logistics,app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/logistics/logistics-page-client.tsx,Create shift/review roster/post job require a focused subview; editing logistics from Event/global reaches the same model and returns predictably.
AUX-EVT-020,P2,Event edit URL convention,ADMUX-0107,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/events/[id]/page.tsx; components/admin/operations/event-operations-card.tsx,Every edit entry point lands on the same canonical URL and opens the same Event.
AUX-FIN-001,P1,Finance false-zero state,ADMUX-0802,W13,"Phase 08 — Ticketing, Finance & Vendors",Finance Workspace,app/admin/dashboard/finances/page.tsx,Finance failure is visibly unavailable/stale; one budget flow remains; settlement can be identified by event/tour name/date.
AUX-FIN-002,P1,Finance tab deep links,ADMUX-0110,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,app/admin/dashboard/finances/page.tsx,Each workspace restores exact meaningful state after refresh/share/back; selected Event/conversation/date scope remains visible.
AUX-FIN-003,P1,Finance export completeness,ADMUX-0306,W06,Phase 03 — Collection Platform,Finance Ledger,app/admin/dashboard/finances/page.tsx,200-record ledger is searchable; export/time series match authoritative scope/date data.
AUX-FIN-004,P1,Finance chart completeness,ADMUX-0306,W06,Phase 03 — Collection Platform,Finance Ledger,app/admin/dashboard/finances/page.tsx,200-record ledger is searchable; export/time series match authoritative scope/date data.
AUX-FIN-005,P2,Finance landing hierarchy,ADMUX-0802,W13,"Phase 08 — Ticketing, Finance & Vendors",Finance Workspace,app/admin/dashboard/finances/page.tsx,Finance failure is visibly unavailable/stale; one budget flow remains; settlement can be identified by event/tour name/date.
AUX-FIN-006,P2,Budget UX duplication,ADMUX-0802,W13,"Phase 08 — Ticketing, Finance & Vendors",Finance Workspace,app/admin/dashboard/finances/page.tsx,Finance failure is visibly unavailable/stale; one budget flow remains; settlement can be identified by event/tour name/date.
AUX-FIN-007,P2,Settlement identity,ADMUX-0802,W13,"Phase 08 — Ticketing, Finance & Vendors",Finance Workspace,app/admin/dashboard/finances/page.tsx,Finance failure is visibly unavailable/stale; one budget flow remains; settlement can be identified by event/tour name/date.
AUX-FIN-008,P2,Transaction list density,ADMUX-0306,W06,Phase 03 — Collection Platform,Finance Ledger,app/admin/dashboard/finances/page.tsx,200-record ledger is searchable; export/time series match authoritative scope/date data.
AUX-FLOW-001,P1,Canonical workspace ownership,ADMUX-0111,W02,"Phase 01 — Navigation, URL & Scope Foundation",Workspace Ownership,multiple inspected files,Every duplicated domain has one documented source-of-truth UI and an approved embed/deep-link approach.
AUX-FLOW-002,P1,Action-label semantics,ADMUX-0505,W09,Phase 05 — Event & Tour Workspaces,Event Actions,app/admin/dashboard/events/[id]/page.tsx; app/admin/dashboard/components/optimized-dashboard-client.tsx,Duplicate retains intended duration; labels match outcome; coordinator action panel no longer acts as a feature list.
AUX-FLOW-003,P1,Cross-domain URL consistency,ADMUX-0104,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,multiple inspected files,Back/Forward/refresh/share work consistently across representative workspaces; legacy links resolve to canonical state; account scope is never silently changed by a child URL.
AUX-FLOW-004,P1,Scope visibility consistency,ADMUX-0104,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,multiple inspected files,Back/Forward/refresh/share work consistently across representative workspaces; legacy links resolve to canonical state; account scope is never silently changed by a child URL.
AUX-FLOW-005,P2,Vocabulary consistency,ADMUX-0101,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Vocabulary,multiple inspected files,Every current Admin destination remains reachable; first-click testing improves for common owner/manager/coordinator tasks; no duplicate primary label represents the same concept; search returns direct matching destinations.
AUX-FLOW-006,P1,KPI source-of-truth consistency,ADMUX-0307,W06,Phase 03 — Collection Platform,KPI Contracts,multiple inspected files,No organization-level KPI is computed from a paged visible subset unless explicitly labeled; chart coverage is documented/tested.
AUX-FLOW-007,P2,Collection→detail return path,ADMUX-0104,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,multiple inspected files,Back/Forward/refresh/share work consistently across representative workspaces; legacy links resolve to canonical state; account scope is never silently changed by a child URL.
AUX-FLOW-008,P2,Global attention queue,ADMUX-0203,W03,Phase 02 — Shared UI & State Platform,Attention & Action Center,multiple inspected files,More than three issues remain discoverable; internal issue navigation stays SPA-native; Dashboard can aggregate domain queues.
AUX-FLOW-009,P2,Progressive disclosure,ADMUX-0501,W08,Phase 05 — Event & Tour Workspaces,Workspace Navigation,multiple inspected files,Event/Organization/Ticketing workspaces no longer render massive tab walls on mobile; all legacy tab URLs resolve to the correct new location.
AUX-FLOW-010,P2,Runtime end-to-end continuity,ADMUX-1101,W16,Phase 11 — Runtime Verification & Rollout,Runtime UX Verification,multiple routes,"Every launch-critical persona journey passes with no ambiguous scope, false-empty state, broken Back behavior or inaccessible control."
AUX-HIRE-001,P1,Hiring tab deep links,ADMUX-0109,W02,"Phase 01 — Navigation, URL & Scope Foundation",Workforce Scope,components/hiring/hiring-dashboard-shell.tsx,No tab-specific missing-scope surprises; Hiring tab survives refresh/share/back.
AUX-HIRE-002,P2,Hiring page identity,ADMUX-0602,W10,"Phase 06 — Workforce, Hiring & Governance",Hiring,components/hiring/hiring-dashboard-shell.tsx,Deep-link user can identify employer and primary task immediately; low-frequency administration does not compete with funnel work.
AUX-HIRE-003,P2,Hiring hierarchy,ADMUX-0602,W10,"Phase 06 — Workforce, Hiring & Governance",Hiring,components/hiring/hiring-dashboard-shell.tsx,Deep-link user can identify employer and primary task immediately; low-frequency administration does not compete with funnel work.
AUX-HIRE-004,P2,Hiring lazy loading,ADMUX-0206,W04,Phase 02 — Shared UI & State Platform,Loading UX,components/hiring/hiring-dashboard-shell.tsx,Loading preserves major geometry and avoids obvious layout jumps.
AUX-HIRE-005,P2,SLO priority,ADMUX-0602,W10,"Phase 06 — Workforce, Hiring & Governance",Hiring,components/hiring/hiring-dashboard-shell.tsx,Deep-link user can identify employer and primary task immediately; low-frequency administration does not compete with funnel work.
AUX-IA-001,P1,Primary navigation,ADMUX-0101,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Vocabulary,app/admin/dashboard/components/optimized-sidebar.tsx,Every current Admin destination remains reachable; first-click testing improves for common owner/manager/coordinator tasks; no duplicate primary label represents the same concept; search returns direct matching destinations.
AUX-IA-002,P2,Sidebar search,ADMUX-0101,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Vocabulary,app/admin/dashboard/components/optimized-sidebar.tsx,Every current Admin destination remains reachable; first-click testing improves for common owner/manager/coordinator tasks; no duplicate primary label represents the same concept; search returns direct matching destinations.
AUX-IA-003,P1,Mobile navigation,ADMUX-0102,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Accessibility,app/admin/dashboard/components/optimized-sidebar.tsx,One accessible mobile drawer; no internal full reloads; collapsed items have accessible names; body does not scroll behind drawer; stable scope consumes less vertical height.
AUX-IA-004,P2,Collapsed navigation,ADMUX-0102,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Accessibility,app/admin/dashboard/components/optimized-sidebar.tsx,One accessible mobile drawer; no internal full reloads; collapsed items have accessible names; body does not scroll behind drawer; stable scope consumes less vertical height.
AUX-IA-005,P2,Internal navigation,ADMUX-0102,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Accessibility,app/admin/dashboard/components/optimized-sidebar.tsx,One accessible mobile drawer; no internal full reloads; collapsed items have accessible names; body does not scroll behind drawer; stable scope consumes less vertical height.
AUX-IA-006,P2,Acting organization control,ADMUX-0103,W01,"Phase 01 — Navigation, URL & Scope Foundation",Scope & Identity UX,app/admin/dashboard/components/admin-acting-context-bar.tsx,Users can identify and switch the organization from any Admin workspace; every mutation still carries the resolved acting context; scope change is visually confirmed before page data mutates.
AUX-IA-007,P3,Vertical density,ADMUX-0102,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Accessibility,app/admin/dashboard/components/admin-acting-context-bar.tsx,One accessible mobile drawer; no internal full reloads; collapsed items have accessible names; body does not scroll behind drawer; stable scope consumes less vertical height.
AUX-IA-008,P2,Navigation taxonomy,ADMUX-0101,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Vocabulary,app/admin/dashboard/components/optimized-sidebar.tsx,Every current Admin destination remains reachable; first-click testing improves for common owner/manager/coordinator tasks; no duplicate primary label represents the same concept; search returns direct matching destinations.
AUX-IA-009,P3,Power-user navigation,ADMUX-0101,W01,"Phase 01 — Navigation, URL & Scope Foundation",IA & Vocabulary,app/admin/dashboard/components/optimized-sidebar.tsx,Every current Admin destination remains reachable; first-click testing improves for common owner/manager/coordinator tasks; no duplicate primary label represents the same concept; search returns direct matching destinations.
AUX-IA-010,P1,URL/scope conventions,ADMUX-0104,W02,"Phase 01 — Navigation, URL & Scope Foundation",URL & Deep Linking,multiple inspected Admin route files,Back/Forward/refresh/share work consistently across representative workspaces; legacy links resolve to canonical state; account scope is never silently changed by a child URL.
AUX-LOG-001,P2,Logistics taxonomy,ADMUX-0701,W11,Phase 07 — Logistics & Communications,Logistics Architecture,app/admin/dashboard/logistics/logistics-page-client.tsx,Overview no longer fetches full data for unused domains; first-click task mapping matches live-event terminology.
