"task_id","task","owner_role","dependency","acceptance_evidence","status","qualified_id","accountable_owner","due_date","pull_request","migration_version","before_evidence","validation_result","after_evidence","feature_flag","rollback_instruction","production_approver","observation_end"
"DOM-304","Make sync jobs idempotent with provider identifiers and uniqueness constraints","Marketplace/Backend/Database","DOM-303","Replay test produces no duplicates","BLOCKED","AUDIT:DOM-304","","","","","","","","","","",""
"DOM-305","Add retry, dead-letter, and audit behavior without deleting failed records","Marketplace/Backend","DOM-303","Failure-path tests","BLOCKED","AUDIT:DOM-305","","","","","","","","","","",""
"DOM-306","Validate external redirect checkout, native checkout, booking request, quote request, and fulfillment status journeys","QA","DOM-302–305","E2E matrix","BLOCKED","AUDIT:DOM-306","","","","","","","","","","",""
"DOM-401","Trace organization, tour, venue, employer, and acting-context authorization sources","Hiring/Logistics/Security","DB-008","Canonical scope diagram","BLOCKED","AUDIT:DOM-401","","","","","","","","","","",""
"DOM-402","Repair membership helper permissions without introducing service-role bypasses","Database/Security","DOM-401","RLS/RPC persona tests","BLOCKED","AUDIT:DOM-402","","","","","","","","","","",""
"DOM-403","Classify missing event/staff/zone/role/advancing/logistics relations by active usage","Domain owners","DB-008","Classification complete","BLOCKED","AUDIT:DOM-403","","","","","","","","","","",""
"DOM-404","Add only active required relations with tenant keys, RLS, indexes, audit fields, and explicit retention","Database/Domain owners","DOM-403","Schema and policy tests","BLOCKED","AUDIT:DOM-404","","","","","","","","","","",""
"DOM-405","Gate future logistics and staffing modules whose canonical data model is not approved","Backend/Product","DOM-403","Route capability tests","BLOCKED","AUDIT:DOM-405","","","","","","","","","","",""
"DOM-406","Verify admin, organization, venue, artist, worker, and unauthorized personas across tour and staff journeys","QA/Security","DOM-402–405","Persona matrix","BLOCKED","AUDIT:DOM-406","","","","","","","","","","",""
"RPC-001","Build an absent-RPC caller and purpose registry","Backend/Database","CON-001","All 16 classified","BLOCKED","AUDIT:RPC-001","","","","","","","","","","",""
"RPC-002","Remove production references to generic SQL execution and schema mutation RPCs","Backend/Security","RPC-001","Static scan and route tests","BLOCKED","AUDIT:RPC-002","","","","","","","","","","",""
"RPC-003","Implement or replace approved business RPCs with typed arguments, authorization, grants, and stable return types","Database/Backend","RPC-001","RPC contract suite","BLOCKED","AUDIT:RPC-003","","","","","","","","","","",""
"RPC-004","Add temporary compatibility wrappers only where an active caller cannot switch atomically","Database/Backend","RPC-003","Deprecation owner/date recorded","BLOCKED","AUDIT:RPC-004","","","","","","","","","","",""
"RPC-005","Assert that no anonymous/authenticated role can call internal admin/debug RPCs","Security/QA","RPC-002–004","Grant test","BLOCKED","AUDIT:RPC-005","","","","","","","","","","",""
"SEC-101","Inventory all 136 definers with signature, owner, body hash, search path, grants, triggers, policies, and callers","Security/Database","P0-008","Complete function manifest","BLOCKED","AUDIT:SEC-101","","","","","","","","","","",""
"SEC-102","Classify each as trigger-only, policy helper, client RPC, worker/internal, or obsolete candidate","Security/Domain owners","SEC-101","No unowned function","BLOCKED","AUDIT:SEC-102","","","","","","","","","","",""
"SEC-103","Convert functions to SECURITY INVOKER where elevation is unnecessary","Database/Security","SEC-102","Behavior and permission tests","BLOCKED","AUDIT:SEC-103","","","","","","","","","","",""
"SEC-104","Move internal policy helpers to a non-exposed schema where feasible","Database/Security","SEC-102","PostgREST exposure test","BLOCKED","AUDIT:SEC-104","","","","","","","","","","",""
"SEC-105","Add fixed search paths and schema-qualified references to remaining definers","Database","SEC-102","Mutable-search-path advisor cleared","BLOCKED","AUDIT:SEC-105","","","","","","","","","","",""
"SEC-106","Add explicit auth.uid()/membership validation to caller-sensitive functions","Database/Security","SEC-102","Negative caller tests","BLOCKED","AUDIT:SEC-106","","","","","","","","","","",""
"SEC-107","Revoke default PUBLIC execute privileges for future functions for every function-owning role","Database/Security","SEC-101","New-function fixture not public","BLOCKED","AUDIT:SEC-107","","","","","","","","","","",""
"SEC-108","Replace music_finance_offering_orders unrestricted insert rule with approved ownership and eligibility checks; keep feature gated until reviewed","Music/Finance/Security","Product/legal decision","RLS tests and approval","BLOCKED","AUDIT:SEC-108","","","","","","","","","","",""
"RLS-001","Decide access for the four RLS-enabled tables with no policies","Security/Domain owners","DB-008","Per-table access decision","BLOCKED","AUDIT:RLS-001","","","","","","","","","","",""
"RLS-002","For service-only tables, revoke client table privileges; for client tables, add explicit policies","Database/Security","RLS-001","Anon/auth/service tests","BLOCKED","AUDIT:RLS-002","","","","","","","","","","",""
"RLS-003","Create an authorization matrix for every active domain","Security/Domain owners","DB-008","Approved matrix","BLOCKED","AUDIT:RLS-003","","","","","","","","","","",""
"RLS-004","Test cross-tenant, ownership-transfer, blocked-user, deleted-row, and role-change scenarios","QA/Security","RLS-003","Negative test suite","BLOCKED","AUDIT:RLS-004","","","","","","","","","","",""
"CI-001","Approve npm as canonical root package manager and document workspace exceptions","Platform","None","Architecture decision","VALIDATING","AUDIT:CI-001","","","","","","npm 11.5.2 and Node 20 are declared and the toolchain check passes","","","","",""
"CI-002","Verify npm ci and Prisma generation from a clean checkout","Platform","CI-001","Clean runner log","BLOCKED","AUDIT:CI-002","","","","","","","","","","",""
"CI-003","Remove the need for --legacy-peer-deps by resolving or explicitly documenting dependency conflicts","Platform","CI-002","Clean install without flag, or approved exception","VALIDATING","AUDIT:CI-003","","","","","","Peer dependency policy check passes without legacy-peer-deps","","","","",""
"CI-004","Add a lockfile policy check that prevents ambiguous root dependency changes","Platform","CI-001","CI fixture","BLOCKED","AUDIT:CI-004","","","","","","","","","","",""
"CI-005","Retire the noncanonical root lockfile only after equivalent install/build verification and team approval","Platform","CI-002–004","Focused PR","BLOCKED","AUDIT:CI-005","","","","","","","","","","",""
"TST-001","Align cron tests to the approved secret-required contract","Backend/Security","None","Jest group green","VALIDATING","AUDIT:TST-001","","","","","","Cron tests now enforce the approved secret-required fail-closed contract","","","","",""
"TST-002","Standardize server-only mocks/module mapping in Jest and Vitest","QA/Platform","None","Both import failures resolved","VALIDATING","AUDIT:TST-002","","","","","","Jest runner ownership and server-only mapping are repaired; the canonical suite passes all 82 suites and 480 tests","","","","",""
"TST-003","Create a decision sheet for all 12 Vitest failures before editing tests","QA/Product","None","Expected behavior approved","IN_REVIEW","AUDIT:TST-003","","","","","","All 14 remaining failures are recorded in VITEST_DECISION_SHEET.md with behavior, disagreement, recommendation, and approval blocker","","","","",""
"TST-004","Repair feed, event, artist slug, profile, author feed, poll, and social groups","Domain owners","TST-003, relevant Phase 3 tasks","Behavior tests green","BLOCKED","AUDIT:TST-004","","","","","","","","","","",""
"TST-005","Separate stable public contracts from fragile source-structure assertions","QA/Domain owners","TST-004","Test review","BLOCKED","AUDIT:TST-005","","","","","","","","","","",""
"TST-006","Run Jest and Vitest with coverage on security- and migration-sensitive modules","QA","TST-001–005","Coverage report and thresholds","BLOCKED","AUDIT:TST-006","","","","","","","","","","",""
"CI-101","Add Vitest and production-debug jobs to CI","Platform","OBS-002, TST fixes","Required checks green","IN_PROGRESS","AUDIT:CI-101","","","","","","Independent Vitest and production-debug jobs are defined; full suite and required-check evidence remain open","","","","",""
"CI-102","Add disposable database startup and clean migration replay","Platform/Database","DB-014","CI replay green","BLOCKED","AUDIT:CI-102","","","","","","","","","","",""
"CI-103","Add schema-contract and generated-type drift checks","Platform/Database","CON-003, DB-024","Required checks green","BLOCKED","AUDIT:CI-103","","","","","","","","","","",""
"CI-104","Add grant, RLS, missing-policy, and security-advisor assertions","Platform/Security","SEC/RLS tasks","Required checks green","BLOCKED","AUDIT:CI-104","","","","","","","","","","",""
"CI-105","Establish an advisor budget: no new security findings; tracked performance baseline can only decrease","Security/Database","P0-008","CI comparison report","BLOCKED","AUDIT:CI-105","","","","","","","","","","",""
"CI-106","Make required checks mandatory on main and prevent direct unverified pushes","Repository admin","CI-101–105","Branch protection evidence","BLOCKED","AUDIT:CI-106","","","","","","","","","","",""
"CI-107","Separate production migration deployment from application CI and require environment approval","Platform/Release","DB-023","Manual workflow evidence","BLOCKED","AUDIT:CI-107","","","","","","","","","","",""
"CI-108","Verify workflow runs are actually produced for a test PR and retained","Platform","CI-106","GitHub run links","BLOCKED","AUDIT:CI-108","","","","","","","","","","",""
"QLT-001","Export lint warnings by rule, path, and domain owner","QA/Platform","None","Warning ledger","READY","AUDIT:QLT-001","","","","","","","","","","",""
"QLT-002","Add a no-new-warnings comparison gate","Platform","QLT-001","Failing fixture","VALIDATING","AUDIT:QLT-002","","","","","","No-growth warning budget passes at 97 current versus 101 baseline","","","","",""
"QLT-003","Fix hook and accessibility warnings in highest-traffic journeys first","Domain owners","QLT-001","Category counts decline; tests pass","BLOCKED","AUDIT:QLT-003","","","","","","","","","","",""
"BLD-001","Re-run production build in a clean CI workspace with deployment-equivalent nonsecret configuration","Platform","CI-002","Clean exit and build artifact","BLOCKED","AUDIT:BLD-001","","","","","","","","","","",""
"BLD-002","If ENOTEMPTY repeats, identify concurrent .next writer or cleanup race and isolate output directory","Platform","BLD-001","Root-cause test","BLOCKED","AUDIT:BLD-002","","","","","","","","","","",""
"BLD-003","Retain production build evidence for every release candidate","Platform/Release","BLD-001","Release record","BLOCKED","AUDIT:BLD-003","","","","","","","","","","",""
"PERF-001","Rank policies by active table traffic and query latency","Database/Platform","Phase 3","Hot-policy list","BLOCKED","AUDIT:PERF-001","","","","","","","","","","",""
"PERF-002","Consolidate overlapping permissive policies by action and role while preserving authorization matrices","Database/Security","PERF-001, RLS-003","Persona tests and plan comparison","BLOCKED","AUDIT:PERF-002","","","","","","","","","","",""
"PERF-003","Replace safe repeated Auth calls with scalar subquery form","Database","PERF-001","Advisor reduction and query plans","BLOCKED","AUDIT:PERF-003","","","","","","","","","","",""
"PERF-004","Add indexes for verified hot FK and RLS predicate columns","Database","PERF-001","EXPLAIN/latency evidence","BLOCKED","AUDIT:PERF-004","","","","","","","","","","",""
"PERF-005","Add missing indexes in small batches and monitor write cost","Database/Platform","PERF-004","Before/after metrics","BLOCKED","AUDIT:PERF-005","","","","","","","","","","",""
"PERF-006","Record duplicate indexes as candidates; remove none in this remediation program without separate approval","Database","None","Candidate registry","READY","AUDIT:PERF-006","","","","","","","","","","",""
"PERF-007","Retain unused indexes until representative traffic and statistics prove retirement safety","Database","None","Policy documented","READY","AUDIT:PERF-007","","","","","","","","","","",""
"PERF-101","Define p50/p95 latency, query count, payload, and error budgets for top journeys","Platform/Product","Phase 4","Approved budgets","BLOCKED","AUDIT:PERF-101","","","","","","","","","","",""
"PERF-102","Trace login, feed, public profile, admin onboarding, tour operations, roster, venue scheduling, and travel flows","Platform/Domain owners","PERF-101","Waterfall traces","BLOCKED","AUDIT:PERF-102","","","","","","","","","","",""
"PERF-103","Replace per-row reads with joined or bounded bulk server queries","Domain owners","PERF-102","Query-count reduction","BLOCKED","AUDIT:PERF-103","","","","","","","","","","",""
"PERF-104","Add pagination/cursors to unbounded lists","Backend/Frontend","PERF-102","Load tests","BLOCKED","AUDIT:PERF-104","","","","","","","","","","",""
"PERF-105","Deduplicate client requests and centralize repeated domain loaders","Frontend/Backend","PERF-102","Network trace comparison","BLOCKED","AUDIT:PERF-105","","","","","","","","","","",""
"PERF-106","Cache stable reference data with explicit tags/TTL and tenant-aware keys","Backend","PERF-102","Staleness and isolation tests","BLOCKED","AUDIT:PERF-106","","","","","","","","","","",""
"PERF-107","Review each no-store/force-dynamic use; remove only with correctness proof","Backend","PERF-102","Decision ledger","BLOCKED","AUDIT:PERF-107","","","","","","","","","","",""
"PERF-108","Run load smoke tests and compare against Phase 0 baseline","QA/Platform","PERF-103–107","Performance report","BLOCKED","AUDIT:PERF-108","","","","","","","","","","",""
"AUTH-001","Enable leaked-password protection and test signup/password-change behavior","Security/Platform","Change window","Auth flow tests","NOT_STARTED","AUDIT:AUTH-001","","","","","","","","","","",""
"AUTH-002","Define MFA requirements for platform admins, organization admins, venue admins, and ordinary users","Security/Product","None","Approved policy","READY","AUDIT:AUTH-002","","","","","","","","","","",""
"AUTH-003","Implement MFA enrollment, recovery, step-up, and admin enforcement in stages","Security/Frontend","AUTH-002","Persona E2E tests","BLOCKED","AUDIT:AUTH-003","","","","","","","","","","",""
"AUTH-004","Review session duration, revocation, privileged role changes, and JWT freshness behavior","Security","AUTH-002","Security decision record","BLOCKED","AUDIT:AUTH-004","","","","","","","","","","",""
"AUTH-005","Verify authorization uses trusted app metadata/database membership, not user-editable metadata","Security/Backend","SEC/RLS inventory","Static and policy scan","BLOCKED","AUDIT:AUTH-005","","","","","","","","","","",""
"STO-001","Map every code bucket/path reference to the live bucket registry","Backend/Platform","P0-008","Bucket contract manifest","BLOCKED","AUDIT:STO-001","","","","","","","","","","",""
"STO-002","Decide whether artist-photos should be created additively or client paths should target an existing canonical bucket","Product/Backend","STO-001","Architecture decision","BLOCKED","AUDIT:STO-002","","","","","","","","","","",""
"STO-003","Narrow avatar listing while preserving direct public asset delivery where required","Security/Database","STO-001","List denied; valid image read works","BLOCKED","AUDIT:STO-003","","","","","","","","","","",""
"STO-004","Enforce owner/entity path prefixes and MIME/size rules","Security/Backend","STO-001","Upload policy tests","BLOCKED","AUDIT:STO-004","","","","","","","","","","",""
"STO-005","Test insert, select, update/upsert, delete, and cross-user denial for each upload flow","QA/Security","STO-003–004","Storage persona matrix","BLOCKED","AUDIT:STO-005","","","","","","","","","","",""
"STO-006","Add orphan-object and missing-database-row reconciliation without deleting automatically","Platform","STO-001","Dry-run report","BLOCKED","AUDIT:STO-006","","","","","","","","","","",""
"GOV-001","Generate schema object registry with owner, source migration, grants, RLS owner, row count band, and lifecycle","Architecture/Database","DB-006","Registry complete","BLOCKED","AUDIT:GOV-001","","","","","","","","","","",""
"GOV-002","Generate page/API route registry with owner, auth mode, feature flag, database dependencies, tests, and runtime traffic","Architecture/Platform","CON-001","Registry complete","BLOCKED","AUDIT:GOV-002","","","","","","","","","","",""
"GOV-003","Classify overlapping event, venue, notification, and demo families","Domain owners","GOV-001","Architecture decisions","BLOCKED","AUDIT:GOV-003","","","","","","","","","","",""
"GOV-004","Add deprecation telemetry and compatibility ownership instead of deleting objects","Platform/Domain owners","GOV-003","Usage dashboard","BLOCKED","AUDIT:GOV-004","","","","","","","","","","",""
"GOV-005","Require owner and lifecycle metadata for new tables, functions, policies, routes, and migrations","Repository admin","GOV-001–002","PR template/check","BLOCKED","AUDIT:GOV-005","","","","","","","","","","",""
"GOV-006","Define a separate retirement standard: zero references, zero traffic window, retention approval, backup, rollback, and explicit change window","Architecture/Security","GOV-003","Retirement policy","BLOCKED","AUDIT:GOV-006","","","","","","","","","","",""
"GOV-007","Move old “implementation complete” documentation to an archive index and mark current authoritative docs","Documentation owner","None","Docs index","READY","AUDIT:GOV-007","","","","","","","","","","",""
