"task_id","task","owner_role","dependency","acceptance_evidence","status"
"DB-015","Replay twice and assert the second generated schema diff is empty or fully explained","Database/QA","DB-014","Determinism report","BLOCKED"
"DB-016","Run database unit/RLS tests, security/performance advisors, function grant assertions, and representative queries","QA/Security","DB-014","Test bundle green","BLOCKED"
"DB-017","Generate TypeScript types from the disposable database and compare them to application references","Database/Backend","DB-014","Type and contract diff","BLOCKED"
"DB-018","Generate new forward-only convergence migrations in domain batches; do not reuse colliding timestamps","Database","DB-016, Phase 3 domain decisions","Reviewed migrations","BLOCKED"
"DB-019","Test every convergence migration against a clone/branch representing the live schema","Database/QA","DB-018","Before/after schema diff and data checks","BLOCKED"
"DB-020","Perform dry-run and lock-impact review for each production batch","Database/Platform","DB-019","Dry-run log and maintenance decision","BLOCKED"
"DB-021","Apply the approved batches with backups/PITR verified and monitoring active","Database/Release","DB-020","Deployment record","BLOCKED"
"DB-022","Repair/adopt migration history only for individually verified versions or the approved baseline marker","Database/Release","DB-021","Before/after history ledger; explicit approval","BLOCKED"
"DB-023","Prove future db push --dry-run proposes only intentionally pending migrations","Database/Platform","DB-022","Dry-run output","BLOCKED"
"DB-024","Regenerate and commit canonical database types from the reconciled target","Database/Backend","DB-023","Types match target; typecheck green","BLOCKED"
"CON-001","Extend static extraction to capture relation, selected column, RPC, storage bucket, and schema references","Platform/Backend","DB-014","Contract manifest","BLOCKED"
"CON-002","Resolve dynamic relation/RPC names through an explicit allowlist with owner and justification","Backend/Domain owners","CON-001","No unexplained dynamic target","BLOCKED"
"CON-003","Compare the manifest to disposable database metadata in CI","Platform/Database","CON-001, DB-014","Failing fixture and passing baseline","BLOCKED"
"CON-004","Fail CI for an absent production target unless its route is feature-gated and tested inaccessible","Platform","CON-003","Required check","BLOCKED"
"CON-005","Check generated TypeScript types against freshly generated disposable-database types","Platform/Database","DB-024","No unreviewed diff","BLOCKED"
"DOM-101","Confirm types, defaults, nullability, RLS, and backfill meaning for poll columns","Feed/Database","DB-008","Data contract","BLOCKED"
"DOM-102","Add required poll schema through forward migration only if polls are an active released feature","Feed/Database","DOM-101","Migration tests and RLS personas","BLOCKED"
"DOM-103","Add/validate owner_user_id without replacing existing account relationship identifiers","Accounts/Database","DB-010","Backfill and ownership validation","BLOCKED"
"DOM-104","Implement atomic comment counter behavior and reconciliation","Feed/Database","API-006","Concurrency and repair tests","BLOCKED"
"DOM-105","Verify feed, author feed, profile feed, comments, polls, follows, friends, and blocked-user behavior end to end","QA","DOM-102–104","Journey suite","BLOCKED"
"DOM-201","Define canonical music trust/origin lifecycle and compatibility defaults","Music/Product/Security","DB-008","Approved state model","BLOCKED"
"DOM-202","Add trust/origin columns as nullable or safely defaulted expansion fields","Music/Database","DOM-201","Migration lock and data tests","BLOCKED"
"DOM-203","Backfill existing music rows in resumable batches; preserve original metadata","Music/Database","DOM-202","Checkpoints and before/after counts","BLOCKED"
"DOM-204","Resolve tour_artists.artist_user_id using a verified mapping; quarantine ambiguous rows for manual review","Tours/Database","DB-010","Zero silent mis-mappings","BLOCKED"
"DOM-205","Add/derive merchandise active state while preserving current listings","Marketplace/Database","DB-010","Storefront regression tests","BLOCKED"
"DOM-206","Repair function declared return types or query output explicitly; version replacements when callers depend on the old signature","Database/Backend","DB-007","RPC contract tests","BLOCKED"
"DOM-207","Run upload, preview, trust, profile player, merch visibility, and tour roster journeys","QA","DOM-202–206","E2E evidence","BLOCKED"
"DOM-301","Confirm which integration and fulfillment features are currently exposed to users","Marketplace/Product","RUN-001","Feature exposure map","BLOCKED"
"DOM-302","Gate unreleased connectors and fulfillment paths at the server","Marketplace/Backend","DOM-301","Inaccessible-path tests","BLOCKED"
"DOM-303","For released paths, create additive tables with ownership, seller scope, status constraints, timestamps, RLS, and FK indexes","Marketplace/Database","DB-010, DOM-301","Schema/RLS tests","BLOCKED"
"DOM-304","Make sync jobs idempotent with provider identifiers and uniqueness constraints","Marketplace/Backend/Database","DOM-303","Replay test produces no duplicates","BLOCKED"
"DOM-305","Add retry, dead-letter, and audit behavior without deleting failed records","Marketplace/Backend","DOM-303","Failure-path tests","BLOCKED"
"DOM-306","Validate external redirect checkout, native checkout, booking request, quote request, and fulfillment status journeys","QA","DOM-302–305","E2E matrix","BLOCKED"
"DOM-401","Trace organization, tour, venue, employer, and acting-context authorization sources","Hiring/Logistics/Security","DB-008","Canonical scope diagram","BLOCKED"
"DOM-402","Repair membership helper permissions without introducing service-role bypasses","Database/Security","DOM-401","RLS/RPC persona tests","BLOCKED"
"DOM-403","Classify missing event/staff/zone/role/advancing/logistics relations by active usage","Domain owners","DB-008","Classification complete","BLOCKED"
"DOM-404","Add only active required relations with tenant keys, RLS, indexes, audit fields, and explicit retention","Database/Domain owners","DOM-403","Schema and policy tests","BLOCKED"
"DOM-405","Gate future logistics and staffing modules whose canonical data model is not approved","Backend/Product","DOM-403","Route capability tests","BLOCKED"
"DOM-406","Verify admin, organization, venue, artist, worker, and unauthorized personas across tour and staff journeys","QA/Security","DOM-402–405","Persona matrix","BLOCKED"
"RPC-001","Build an absent-RPC caller and purpose registry","Backend/Database","CON-001","All 16 classified","BLOCKED"
"RPC-002","Remove production references to generic SQL execution and schema mutation RPCs","Backend/Security","RPC-001","Static scan and route tests","BLOCKED"
"RPC-003","Implement or replace approved business RPCs with typed arguments, authorization, grants, and stable return types","Database/Backend","RPC-001","RPC contract suite","BLOCKED"
"RPC-004","Add temporary compatibility wrappers only where an active caller cannot switch atomically","Database/Backend","RPC-003","Deprecation owner/date recorded","BLOCKED"
"RPC-005","Assert that no anonymous/authenticated role can call internal admin/debug RPCs","Security/QA","RPC-002–004","Grant test","BLOCKED"
"SEC-101","Inventory all 136 definers with signature, owner, body hash, search path, grants, triggers, policies, and callers","Security/Database","P0-008","Complete function manifest","BLOCKED"
"SEC-102","Classify each as trigger-only, policy helper, client RPC, worker/internal, or obsolete candidate","Security/Domain owners","SEC-101","No unowned function","BLOCKED"
"SEC-103","Convert functions to SECURITY INVOKER where elevation is unnecessary","Database/Security","SEC-102","Behavior and permission tests","BLOCKED"
"SEC-104","Move internal policy helpers to a non-exposed schema where feasible","Database/Security","SEC-102","PostgREST exposure test","BLOCKED"
"SEC-105","Add fixed search paths and schema-qualified references to remaining definers","Database","SEC-102","Mutable-search-path advisor cleared","BLOCKED"
"SEC-106","Add explicit auth.uid()/membership validation to caller-sensitive functions","Database/Security","SEC-102","Negative caller tests","BLOCKED"
"SEC-107","Revoke default PUBLIC execute privileges for future functions for every function-owning role","Database/Security","SEC-101","New-function fixture not public","BLOCKED"
"SEC-108","Replace music_finance_offering_orders unrestricted insert rule with approved ownership and eligibility checks; keep feature gated until reviewed","Music/Finance/Security","Product/legal decision","RLS tests and approval","BLOCKED"
"RLS-001","Decide access for the four RLS-enabled tables with no policies","Security/Domain owners","DB-008","Per-table access decision","BLOCKED"
"RLS-002","For service-only tables, revoke client table privileges; for client tables, add explicit policies","Database/Security","RLS-001","Anon/auth/service tests","BLOCKED"
"RLS-003","Create an authorization matrix for every active domain","Security/Domain owners","DB-008","Approved matrix","BLOCKED"
"RLS-004","Test cross-tenant, ownership-transfer, blocked-user, deleted-row, and role-change scenarios","QA/Security","RLS-003","Negative test suite","BLOCKED"
"CI-001","Approve npm as canonical root package manager and document workspace exceptions","Platform","None","Architecture decision","READY"
"CI-002","Verify npm ci and Prisma generation from a clean checkout","Platform","CI-001","Clean runner log","BLOCKED"
"CI-003","Remove the need for --legacy-peer-deps by resolving or explicitly documenting dependency conflicts","Platform","CI-002","Clean install without flag, or approved exception","BLOCKED"
"CI-004","Add a lockfile policy check that prevents ambiguous root dependency changes","Platform","CI-001","CI fixture","BLOCKED"
"CI-005","Retire the noncanonical root lockfile only after equivalent install/build verification and team approval","Platform","CI-002–004","Focused PR","BLOCKED"
"TST-001","Align cron tests to the approved secret-required contract","Backend/Security","None","Jest group green","READY"
"TST-002","Standardize server-only mocks/module mapping in Jest and Vitest","QA/Platform","None","Both import failures resolved","READY"
"TST-003","Create a decision sheet for all 12 Vitest failures before editing tests","QA/Product","None","Expected behavior approved","READY"
"TST-004","Repair feed, event, artist slug, profile, author feed, poll, and social groups","Domain owners","TST-003, relevant Phase 3 tasks","Behavior tests green","BLOCKED"
"TST-005","Separate stable public contracts from fragile source-structure assertions","QA/Domain owners","TST-004","Test review","BLOCKED"
"TST-006","Run Jest and Vitest with coverage on security- and migration-sensitive modules","QA","TST-001–005","Coverage report and thresholds","BLOCKED"
"CI-101","Add Vitest and production-debug jobs to CI","Platform","OBS-002, TST fixes","Required checks green","BLOCKED"
"CI-102","Add disposable database startup and clean migration replay","Platform/Database","DB-014","CI replay green","BLOCKED"
"CI-103","Add schema-contract and generated-type drift checks","Platform/Database","CON-003, DB-024","Required checks green","BLOCKED"
"CI-104","Add grant, RLS, missing-policy, and security-advisor assertions","Platform/Security","SEC/RLS tasks","Required checks green","BLOCKED"
"CI-105","Establish an advisor budget: no new security findings; tracked performance baseline can only decrease","Security/Database","P0-008","CI comparison report","BLOCKED"
"CI-106","Make required checks mandatory on main and prevent direct unverified pushes","Repository admin","CI-101–105","Branch protection evidence","BLOCKED"
"CI-107","Separate production migration deployment from application CI and require environment approval","Platform/Release","DB-023","Manual workflow evidence","BLOCKED"
"CI-108","Verify workflow runs are actually produced for a test PR and retained","Platform","CI-106","GitHub run links","BLOCKED"
"QLT-001","Export lint warnings by rule, path, and domain owner","QA/Platform","None","Warning ledger","READY"
"QLT-002","Add a no-new-warnings comparison gate","Platform","QLT-001","Failing fixture","BLOCKED"
"QLT-003","Fix hook and accessibility warnings in highest-traffic journeys first","Domain owners","QLT-001","Category counts decline; tests pass","BLOCKED"
"BLD-001","Re-run production build in a clean CI workspace with deployment-equivalent nonsecret configuration","Platform","CI-002","Clean exit and build artifact","BLOCKED"
"BLD-002","If ENOTEMPTY repeats, identify concurrent .next writer or cleanup race and isolate output directory","Platform","BLD-001","Root-cause test","BLOCKED"
"BLD-003","Retain production build evidence for every release candidate","Platform/Release","BLD-001","Release record","BLOCKED"
"PERF-001","Rank policies by active table traffic and query latency","Database/Platform","Phase 3","Hot-policy list","BLOCKED"
"PERF-002","Consolidate overlapping permissive policies by action and role while preserving authorization matrices","Database/Security","PERF-001, RLS-003","Persona tests and plan comparison","BLOCKED"
"PERF-003","Replace safe repeated Auth calls with scalar subquery form","Database","PERF-001","Advisor reduction and query plans","BLOCKED"
"PERF-004","Add indexes for verified hot FK and RLS predicate columns","Database","PERF-001","EXPLAIN/latency evidence","BLOCKED"
"PERF-005","Add missing indexes in small batches and monitor write cost","Database/Platform","PERF-004","Before/after metrics","BLOCKED"
"PERF-006","Record duplicate indexes as candidates; remove none in this remediation program without separate approval","Database","None","Candidate registry","READY"
"PERF-007","Retain unused indexes until representative traffic and statistics prove retirement safety","Database","None","Policy documented","READY"
"PERF-101","Define p50/p95 latency, query count, payload, and error budgets for top journeys","Platform/Product","Phase 4","Approved budgets","BLOCKED"
"PERF-102","Trace login, feed, public profile, admin onboarding, tour operations, roster, venue scheduling, and travel flows","Platform/Domain owners","PERF-101","Waterfall traces","BLOCKED"
"PERF-103","Replace per-row reads with joined or bounded bulk server queries","Domain owners","PERF-102","Query-count reduction","BLOCKED"
"PERF-104","Add pagination/cursors to unbounded lists","Backend/Frontend","PERF-102","Load tests","BLOCKED"
"PERF-105","Deduplicate client requests and centralize repeated domain loaders","Frontend/Backend","PERF-102","Network trace comparison","BLOCKED"
"PERF-106","Cache stable reference data with explicit tags/TTL and tenant-aware keys","Backend","PERF-102","Staleness and isolation tests","BLOCKED"
"PERF-107","Review each no-store/force-dynamic use; remove only with correctness proof","Backend","PERF-102","Decision ledger","BLOCKED"
"PERF-108","Run load smoke tests and compare against Phase 0 baseline","QA/Platform","PERF-103–107","Performance report","BLOCKED"
"AUTH-001","Enable leaked-password protection and test signup/password-change behavior","Security/Platform","Change window","Auth flow tests","NOT_STARTED"
"AUTH-002","Define MFA requirements for platform admins, organization admins, venue admins, and ordinary users","Security/Product","None","Approved policy","READY"
"AUTH-003","Implement MFA enrollment, recovery, step-up, and admin enforcement in stages","Security/Frontend","AUTH-002","Persona E2E tests","BLOCKED"
"AUTH-004","Review session duration, revocation, privileged role changes, and JWT freshness behavior","Security","AUTH-002","Security decision record","BLOCKED"
"AUTH-005","Verify authorization uses trusted app metadata/database membership, not user-editable metadata","Security/Backend","SEC/RLS inventory","Static and policy scan","BLOCKED"
"STO-001","Map every code bucket/path reference to the live bucket registry","Backend/Platform","P0-008","Bucket contract manifest","BLOCKED"
"STO-002","Decide whether artist-photos should be created additively or client paths should target an existing canonical bucket","Product/Backend","STO-001","Architecture decision","BLOCKED"
"STO-003","Narrow avatar listing while preserving direct public asset delivery where required","Security/Database","STO-001","List denied; valid image read works","BLOCKED"
"STO-004","Enforce owner/entity path prefixes and MIME/size rules","Security/Backend","STO-001","Upload policy tests","BLOCKED"
"STO-005","Test insert, select, update/upsert, delete, and cross-user denial for each upload flow","QA/Security","STO-003–004","Storage persona matrix","BLOCKED"
"STO-006","Add orphan-object and missing-database-row reconciliation without deleting automatically","Platform","STO-001","Dry-run report","BLOCKED"
"GOV-001","Generate schema object registry with owner, source migration, grants, RLS owner, row count band, and lifecycle","Architecture/Database","DB-006","Registry complete","BLOCKED"
"GOV-002","Generate page/API route registry with owner, auth mode, feature flag, database dependencies, tests, and runtime traffic","Architecture/Platform","CON-001","Registry complete","BLOCKED"
"GOV-003","Classify overlapping event, venue, notification, and demo families","Domain owners","GOV-001","Architecture decisions","BLOCKED"
"GOV-004","Add deprecation telemetry and compatibility ownership instead of deleting objects","Platform/Domain owners","GOV-003","Usage dashboard","BLOCKED"
"GOV-005","Require owner and lifecycle metadata for new tables, functions, policies, routes, and migrations","Repository admin","GOV-001–002","PR template/check","BLOCKED"
"GOV-006","Define a separate retirement standard: zero references, zero traffic window, retention approval, backup, rollback, and explicit change window","Architecture/Security","GOV-003","Retirement policy","BLOCKED"
"GOV-007","Move old “implementation complete” documentation to an archive index and mark current authoritative docs","Documentation owner","None","Docs index","READY"
"REL-001","Create production migration runbook with target verification and stop conditions","Release/Database","Phase 2","Approved runbook","BLOCKED"
"REL-002","Add mandatory dry run and migration checksum display to production workflow","Platform","DB-023","Workflow test","BLOCKED"
"REL-003","Require named approval for production database changes","Repository/Environment admin","REL-001","Environment rule","BLOCKED"
"REL-004","Define canary users/accounts and feature-flag rollout stages","Product/QA","Phase 3","Rollout matrix","BLOCKED"
"REL-005","Define error-rate, latency, and data-integrity rollback thresholds","Platform/Product","PERF-101","Threshold record","BLOCKED"
"REL-006","Execute full release-candidate suite and retain evidence","QA/Release","Phases 1–5","Release bundle","BLOCKED"
"REL-007","Re-enable production migration workflow only after release criteria pass","Release lead","REL-001–006","Written sign-off","BLOCKED"
"REL-008","Schedule post-release advisor, error, and contract review","Database/Platform","REL-007","Review record","BLOCKED"
