coverage_id,persona,stage,goal_id,goal,platform,scenario,entry_route_hint,receiving_actor,expected_persisted_result,owner_domain,shipping_state,status,campaign_id,deployed_sha,actor_ids,before_state,after_state,evidence,finding_id,receiver_evidence,scope_decision_task,scope_approver
GEN-02-WEB-RESPONSIVE_OR_NATIVE,customer,identity,GEN-02,Update profile and settings,web,responsive_or_native,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-02-WEB-UNAUTHORIZED,customer,identity,GEN-02,Update profile and settings,web,unauthorized,/settings; mobile /(tabs)/profile,customer,Updated profile and settings persist,general-user,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-SUCCESS,customer,discovery,GEN-03,Discover artists venues events and tours,web,success,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-EMPTY_STATE,customer,discovery,GEN-03,Discover artists venues events and tours,web,empty_state,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-INVALID_INPUT,customer,discovery,GEN-03,Discover artists venues events and tours,web,invalid_input,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-CANCEL_OR_RETRY,customer,discovery,GEN-03,Discover artists venues events and tours,web,cancel_or_retry,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-NOTIFICATION,customer,discovery,GEN-03,Discover artists venues events and tours,web,notification,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-PERSISTENCE,customer,discovery,GEN-03,Discover artists venues events and tours,web,persistence,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-ACCESSIBILITY,customer,discovery,GEN-03,Discover artists venues events and tours,web,accessibility,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-RESPONSIVE_OR_NATIVE,customer,discovery,GEN-03,Discover artists venues events and tours,web,responsive_or_native,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-03-WEB-UNAUTHORIZED,customer,discovery,GEN-03,Discover artists venues events and tours,web,unauthorized,/discover; /search; mobile /(tabs)/discover,artist|venue|organizer,Public records appear with correct visibility,discover,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-SUCCESS,customer,discovery,GEN-04,Follow and unfollow an artist,web,success,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-EMPTY_STATE,customer,discovery,GEN-04,Follow and unfollow an artist,web,empty_state,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-INVALID_INPUT,customer,discovery,GEN-04,Follow and unfollow an artist,web,invalid_input,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-CANCEL_OR_RETRY,customer,discovery,GEN-04,Follow and unfollow an artist,web,cancel_or_retry,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-NOTIFICATION,customer,discovery,GEN-04,Follow and unfollow an artist,web,notification,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-PERSISTENCE,customer,discovery,GEN-04,Follow and unfollow an artist,web,persistence,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-ACCESSIBILITY,customer,discovery,GEN-04,Follow and unfollow an artist,web,accessibility,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-RESPONSIVE_OR_NATIVE,customer,discovery,GEN-04,Follow and unfollow an artist,web,responsive_or_native,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-04-WEB-UNAUTHORIZED,customer,discovery,GEN-04,Follow and unfollow an artist,web,unauthorized,/artist/[username]; mobile /profile/[username],artist,Follow state and count agree after retry,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-SUCCESS,customer,discovery,GEN-05,Message a creator or organizer,web,success,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-EMPTY_STATE,customer,discovery,GEN-05,Message a creator or organizer,web,empty_state,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-INVALID_INPUT,customer,discovery,GEN-05,Message a creator or organizer,web,invalid_input,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-CANCEL_OR_RETRY,customer,discovery,GEN-05,Message a creator or organizer,web,cancel_or_retry,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-NOTIFICATION,customer,discovery,GEN-05,Message a creator or organizer,web,notification,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-PERSISTENCE,customer,discovery,GEN-05,Message a creator or organizer,web,persistence,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-ACCESSIBILITY,customer,discovery,GEN-05,Message a creator or organizer,web,accessibility,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-RESPONSIVE_OR_NATIVE,customer,discovery,GEN-05,Message a creator or organizer,web,responsive_or_native,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-05-WEB-UNAUTHORIZED,customer,discovery,GEN-05,Message a creator or organizer,web,unauthorized,/messages; mobile /(tabs)/messages,artist|organizer,Conversation and notification appear to recipient,social,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-SUCCESS,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,success,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-EMPTY_STATE,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,empty_state,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-INVALID_INPUT,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,invalid_input,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-CANCEL_OR_RETRY,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,cancel_or_retry,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-NOTIFICATION,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,notification,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-PERSISTENCE,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,persistence,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-ACCESSIBILITY,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,accessibility,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-RESPONSIVE_OR_NATIVE,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,responsive_or_native,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-06-WEB-UNAUTHORIZED,customer,sell,GEN-06,Buy a test ticket and inspect wallet,web,unauthorized,/tickets/purchase; /tickets/my-tickets,organizer|door_staff,Paid ticket and inventory persist,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-SUCCESS,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,success,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-EMPTY_STATE,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,empty_state,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-INVALID_INPUT,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,invalid_input,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-CANCEL_OR_RETRY,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,cancel_or_retry,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-NOTIFICATION,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,notification,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-PERSISTENCE,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,persistence,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-ACCESSIBILITY,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,accessibility,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-RESPONSIVE_OR_NATIVE,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,responsive_or_native,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-07-WEB-UNAUTHORIZED,customer,sell,GEN-07,Buy test merchandise and inspect receipt,web,unauthorized,/marketplace; mobile /checkout,artist,Paid order and seller sale persist,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-SUCCESS,customer,close,GEN-08,Request supported cancellation or refund,web,success,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-EMPTY_STATE,customer,close,GEN-08,Request supported cancellation or refund,web,empty_state,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-INVALID_INPUT,customer,close,GEN-08,Request supported cancellation or refund,web,invalid_input,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-CANCEL_OR_RETRY,customer,close,GEN-08,Request supported cancellation or refund,web,cancel_or_retry,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-NOTIFICATION,customer,close,GEN-08,Request supported cancellation or refund,web,notification,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-PERSISTENCE,customer,close,GEN-08,Request supported cancellation or refund,web,persistence,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-ACCESSIBILITY,customer,close,GEN-08,Request supported cancellation or refund,web,accessibility,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-RESPONSIVE_OR_NATIVE,customer,close,GEN-08,Request supported cancellation or refund,web,responsive_or_native,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-08-WEB-UNAUTHORIZED,customer,close,GEN-08,Request supported cancellation or refund,web,unauthorized,/tickets; /marketplace/purchases,organizer|artist,Order and refund state agree across actors,marketplace,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-SUCCESS,customer,execute,GEN-09,Open event detail and ticket admission state,web,success,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-EMPTY_STATE,customer,execute,GEN-09,Open event detail and ticket admission state,web,empty_state,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-INVALID_INPUT,customer,execute,GEN-09,Open event detail and ticket admission state,web,invalid_input,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-CANCEL_OR_RETRY,customer,execute,GEN-09,Open event detail and ticket admission state,web,cancel_or_retry,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-NOTIFICATION,customer,execute,GEN-09,Open event detail and ticket admission state,web,notification,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-PERSISTENCE,customer,execute,GEN-09,Open event detail and ticket admission state,web,persistence,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-ACCESSIBILITY,customer,execute,GEN-09,Open event detail and ticket admission state,web,accessibility,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-RESPONSIVE_OR_NATIVE,customer,execute,GEN-09,Open event detail and ticket admission state,web,responsive_or_native,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
GEN-09-WEB-UNAUTHORIZED,customer,execute,GEN-09,Open event detail and ticket admission state,web,unauthorized,/events/[slug]; mobile /events/[id],door_staff,Ticket and admission state agree,ticketing,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-SUCCESS,artist_owner,identity,ART-01,Create public artist identity and EPK,web,success,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-EMPTY_STATE,artist_owner,identity,ART-01,Create public artist identity and EPK,web,empty_state,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-INVALID_INPUT,artist_owner,identity,ART-01,Create public artist identity and EPK,web,invalid_input,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-CANCEL_OR_RETRY,artist_owner,identity,ART-01,Create public artist identity and EPK,web,cancel_or_retry,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-NOTIFICATION,artist_owner,identity,ART-01,Create public artist identity and EPK,web,notification,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-PERSISTENCE,artist_owner,identity,ART-01,Create public artist identity and EPK,web,persistence,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-ACCESSIBILITY,artist_owner,identity,ART-01,Create public artist identity and EPK,web,accessibility,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-RESPONSIVE_OR_NATIVE,artist_owner,identity,ART-01,Create public artist identity and EPK,web,responsive_or_native,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-01-WEB-UNAUTHORIZED,artist_owner,identity,ART-01,Create public artist identity and EPK,web,unauthorized,/artist/profile; /artist/[username],customer|organizer,Published profile and EPK are discoverable,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-SUCCESS,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,success,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-EMPTY_STATE,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,empty_state,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-INVALID_INPUT,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,invalid_input,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-CANCEL_OR_RETRY,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,cancel_or_retry,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-NOTIFICATION,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,notification,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-PERSISTENCE,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,persistence,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-ACCESSIBILITY,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,accessibility,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-RESPONSIVE_OR_NATIVE,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,responsive_or_native,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-02-WEB-UNAUTHORIZED,artist_owner,identity,ART-02,Invite and manage artist collaborator,web,unauthorized,/artist; artist collaborators,artist_collaborator,Invitation and scoped membership persist,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-SUCCESS,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,success,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-EMPTY_STATE,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,empty_state,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-INVALID_INPUT,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,invalid_input,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-CANCEL_OR_RETRY,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,cancel_or_retry,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-NOTIFICATION,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,notification,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-PERSISTENCE,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,persistence,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-ACCESSIBILITY,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,accessibility,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-RESPONSIVE_OR_NATIVE,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,responsive_or_native,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-03-WEB-UNAUTHORIZED,artist_collaborator,identity,ART-03,Accept collaboration and verify boundaries,web,unauthorized,artist collaborator invite,artist_owner,Allowed work persists and owner-only actions are denied,artist,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-SUCCESS,artist_owner,discovery,ART-04,Publish music and posts,web,success,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-EMPTY_STATE,artist_owner,discovery,ART-04,Publish music and posts,web,empty_state,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-INVALID_INPUT,artist_owner,discovery,ART-04,Publish music and posts,web,invalid_input,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-CANCEL_OR_RETRY,artist_owner,discovery,ART-04,Publish music and posts,web,cancel_or_retry,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-NOTIFICATION,artist_owner,discovery,ART-04,Publish music and posts,web,notification,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-PERSISTENCE,artist_owner,discovery,ART-04,Publish music and posts,web,persistence,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-ACCESSIBILITY,artist_owner,discovery,ART-04,Publish music and posts,web,accessibility,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-RESPONSIVE_OR_NATIVE,artist_owner,discovery,ART-04,Publish music and posts,web,responsive_or_native,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
ART-04-WEB-UNAUTHORIZED,artist_owner,discovery,ART-04,Publish music and posts,web,unauthorized,/artist; mobile /(tabs)/music; /(tabs)/feed,customer,Music and content are visible and playable,music,needs_ui_confirmation,not_run,,,,,,,,,,
